"ensembl_gene_id","external_gene_name","description"
"ENSMUSG00000039982","Dtx4","deltex 4, E3 ubiquitin ligase [Source:MGI Symbol;Acc:MGI:2672905]"
"ENSMUSG00000026831","1700007K13Rik","RIKEN cDNA 1700007K13 gene [Source:MGI Symbol;Acc:MGI:1916577]"
"ENSMUSG00000034022","Cpsf1","cleavage and polyadenylation specific factor 1 [Source:MGI Symbol;Acc:MGI:2679722]"
"ENSMUSG00000065394","Mir25","microRNA 25 [Source:MGI Symbol;Acc:MGI:3619266]"
"ENSMUSG00000077199","Gm22266","predicted gene, 22266 [Source:MGI Symbol;Acc:MGI:5452043]"
"ENSMUSG00000108726","Gm45106","predicted gene 45106 [Source:MGI Symbol;Acc:MGI:5753682]"
"ENSMUSG00000075327","Zbtb2","zinc finger and BTB domain containing 2 [Source:MGI Symbol;Acc:MGI:2685949]"
"ENSMUSG00000088941","Gm23261","predicted gene, 23261 [Source:MGI Symbol;Acc:MGI:5453038]"
"ENSMUSG00000095951","Gm23963","predicted gene, 23963 [Source:MGI Symbol;Acc:MGI:5453740]"
"ENSMUSG00000051703","Tmem198","transmembrane protein 198 [Source:MGI Symbol;Acc:MGI:2443133]"
"ENSMUSG00000024049","Myom1","myomesin 1 [Source:MGI Symbol;Acc:MGI:1341430]"
"ENSMUSG00000022974","Paxbp1","PAX3 and PAX7 binding protein 1 [Source:MGI Symbol;Acc:MGI:1914617]"
"ENSMUSG00000070141","Mir494","microRNA 494 [Source:MGI Symbol;Acc:MGI:3619426]"
"ENSMUSG00000054582","Pabpc1l","poly(A) binding protein, cytoplasmic 1-like [Source:MGI Symbol;Acc:MGI:1922908]"
"ENSMUSG00000012848","Rps5","ribosomal protein S5 [Source:MGI Symbol;Acc:MGI:1097682]"
"ENSMUSG00000034201","Gas2l1","growth arrest-specific 2 like 1 [Source:MGI Symbol;Acc:MGI:1926176]"
"ENSMUSG00000087808","Gm23435","predicted gene, 23435 [Source:MGI Symbol;Acc:MGI:5453212]"
"ENSMUSG00000077476","Gm24794","predicted gene, 24794 [Source:MGI Symbol;Acc:MGI:5454571]"
"ENSMUSG00000031896","Ctrl","chymotrypsin-like [Source:MGI Symbol;Acc:MGI:88558]"
"ENSMUSG00000023045","Soat2","sterol O-acyltransferase 2 [Source:MGI Symbol;Acc:MGI:1332226]"
"ENSMUSG00000106215","Mir7218","microRNA 7218 [Source:MGI Symbol;Acc:MGI:5562749]"
"ENSMUSG00000032198","Dock6","dedicator of cytokinesis 6 [Source:MGI Symbol;Acc:MGI:1914789]"
"ENSMUSG00000086784","Isoc2a","isochorismatase domain containing 2a [Source:MGI Symbol;Acc:MGI:3609243]"
"ENSMUSG00000010362","Rdm1","RAD52 motif 1 [Source:MGI Symbol;Acc:MGI:1913849]"
"ENSMUSG00000031775","Pllp","plasma membrane proteolipid [Source:MGI Symbol;Acc:MGI:1915051]"
"ENSMUSG00000005370","Msh6","mutS homolog 6 [Source:MGI Symbol;Acc:MGI:1343961]"
"ENSMUSG00000058587","Tmod3","tropomodulin 3 [Source:MGI Symbol;Acc:MGI:1355315]"
"ENSMUSG00000097258","Gm26767","predicted gene, 26767 [Source:MGI Symbol;Acc:MGI:5477261]"
"ENSMUSG00000059187","Fam19a1","family with sequence similarity 19, member A1 [Source:MGI Symbol;Acc:MGI:2443695]"
"ENSMUSG00000038637","Lrrc56","leucine rich repeat containing 56 [Source:MGI Symbol;Acc:MGI:1917802]"
"ENSMUSG00000024357","Sil1","endoplasmic reticulum chaperone SIL1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1932040]"
"ENSMUSG00000010517","Faf1","Fas-associated factor 1 [Source:MGI Symbol;Acc:MGI:109419]"
"ENSMUSG00000046223","Plaur","plasminogen activator, urokinase receptor [Source:MGI Symbol;Acc:MGI:97612]"
"ENSMUSG00000035828","Pim3","proviral integration site 3 [Source:MGI Symbol;Acc:MGI:1355297]"
"ENSMUSG00000105381","Mir7234","microRNA 7234 [Source:MGI Symbol;Acc:MGI:5562778]"
"ENSMUSG00000039116","Adgrg6","adhesion G protein-coupled receptor G6 [Source:MGI Symbol;Acc:MGI:1916151]"
"ENSMUSG00000098481","Gm27387","predicted gene, 27387 [Source:MGI Symbol;Acc:MGI:5530769]"
"ENSMUSG00000040938","Slc16a11","solute carrier family 16 (monocarboxylic acid transporters), member 11 [Source:MGI Symbol;Acc:MGI:2663709]"
"ENSMUSG00000074749","Kiz","kizuna centrosomal protein [Source:MGI Symbol;Acc:MGI:2684960]"
"ENSMUSG00000079346","1700013D24Rik","RIKEN cDNA 1700013D24 gene [Source:MGI Symbol;Acc:MGI:1924171]"
"ENSMUSG00000088935","Gm25924","predicted gene, 25924 [Source:MGI Symbol;Acc:MGI:5455701]"
"ENSMUSG00000072707","Olfr31","olfactory receptor 31 [Source:MGI Symbol;Acc:MGI:109304]"
"ENSMUSG00000098053","Gm27033","predicted gene, 27033 [Source:MGI Symbol;Acc:MGI:5504148]"
"ENSMUSG00000084713","Gm24627","predicted gene, 24627 [Source:MGI Symbol;Acc:MGI:5454404]"
"ENSMUSG00000022560","Slc52a2","solute carrier protein 52, member 2 [Source:MGI Symbol;Acc:MGI:1289288]"
"ENSMUSG00000097811","2810425M01Rik","RIKEN cDNA 2810425M01 gene [Source:MGI Symbol;Acc:MGI:1917222]"
"ENSMUSG00000041571","",""
"ENSMUSG00000037577","Ephx3","epoxide hydrolase 3 [Source:MGI Symbol;Acc:MGI:1919182]"
"ENSMUSG00000087094","Gm13093","predicted gene 13093 [Source:MGI Symbol;Acc:MGI:3650866]"
"ENSMUSG00000087574","C030037D09Rik","RIKEN cDNA C030037D09 gene [Source:MGI Symbol;Acc:MGI:1924865]"
"ENSMUSG00000030284","Creld1","cysteine-rich with EGF-like domains 1 [Source:MGI Symbol;Acc:MGI:2152539]"
"ENSMUSG00000065611","Mir23a","microRNA 23a [Source:MGI Symbol;Acc:MGI:2676897]"
"ENSMUSG00000108584","Gm45216","predicted gene 45216 [Source:MGI Symbol;Acc:MGI:5753792]"
"ENSMUSG00000051225","Fam83a","family with sequence similarity 83, member A [Source:MGI Symbol;Acc:MGI:2447773]"
"ENSMUSG00000072437","Nanos1","nanos homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:2669254]"
"ENSMUSG00000078254","Krtap29-1","keratin associated protein 29-1 [Source:MGI Symbol;Acc:MGI:3652056]"
"ENSMUSG00000100706","Gm19744","predicted gene, 19744 [Source:MGI Symbol;Acc:MGI:5011929]"
"ENSMUSG00000031023","Akip1","A kinase (PRKA) interacting protein 1 [Source:MGI Symbol;Acc:MGI:3041226]"
"ENSMUSG00000064080","Fbln2","fibulin 2 [Source:MGI Symbol;Acc:MGI:95488]"
"ENSMUSG00000029437","Il31","interleukin 31 [Source:MGI Symbol;Acc:MGI:1923649]"
"ENSMUSG00000107237","Gm29926","predicted gene, 29926 [Source:MGI Symbol;Acc:MGI:5589085]"
"ENSMUSG00000022020","Naa16","N(alpha)-acetyltransferase 16, NatA auxiliary subunit [Source:MGI Symbol;Acc:MGI:1914147]"
"ENSMUSG00000104217","Gm37988","predicted gene, 37988 [Source:MGI Symbol;Acc:MGI:5611216]"
"ENSMUSG00000099211","Gm27684","predicted gene, 27684 [Source:MGI Symbol;Acc:MGI:5531066]"
"ENSMUSG00000034110","Kctd7","potassium channel tetramerisation domain containing 7 [Source:MGI Symbol;Acc:MGI:2442265]"
"ENSMUSG00000051424","Olfr1184","olfactory receptor 1184 [Source:MGI Symbol;Acc:MGI:3031018]"
"ENSMUSG00000023940","Sgol1","shugoshin-like 1 (S. pombe) [Source:MGI Symbol;Acc:MGI:1919665]"
"ENSMUSG00000098689","Mir6345","microRNA 6345 [Source:MGI Symbol;Acc:MGI:5531201]"
"ENSMUSG00000029600","Rita1","RBPJ interacting and tubulin associated 1 [Source:MGI Symbol;Acc:MGI:1922021]"
"ENSMUSG00000098522","Mir6412","microRNA 6412 [Source:MGI Symbol;Acc:MGI:5530746]"
"ENSMUSG00000097324","Carmn","cardiac mesoderm enhancer-associated non-coding RNA [Source:MGI Symbol;Acc:MGI:4439832]"
"ENSMUSG00000046262","",""
"ENSMUSG00000000266","Mid2","midline 2 [Source:MGI Symbol;Acc:MGI:1344333]"
"ENSMUSG00000038180","Spag4","sperm associated antigen 4 [Source:MGI Symbol;Acc:MGI:2444120]"
"ENSMUSG00000024659","Anxa1","annexin A1 [Source:MGI Symbol;Acc:MGI:96819]"
"ENSMUSG00000069919","Hba-a1","hemoglobin alpha, adult chain 1 [Source:MGI Symbol;Acc:MGI:96015]"
"ENSMUSG00000088311","Gm26184","predicted gene, 26184 [Source:MGI Symbol;Acc:MGI:5455961]"
"ENSMUSG00000046814","Gchfr","GTP cyclohydrolase I feedback regulator [Source:MGI Symbol;Acc:MGI:2443977]"
"ENSMUSG00000058275","Olfr412","olfactory receptor 412 [Source:MGI Symbol;Acc:MGI:3030246]"
"ENSMUSG00000065640","Snord1c","small nucleolar RNA, C/D box 1C [Source:MGI Symbol;Acc:MGI:3819527]"
"ENSMUSG00000037813","D630003M21Rik","RIKEN cDNA D630003M21 gene [Source:MGI Symbol;Acc:MGI:3606579]"
"ENSMUSG00000041737","Tmem45b","transmembrane protein 45b [Source:MGI Symbol;Acc:MGI:2384574]"
"ENSMUSG00000002342","Tmem161a","transmembrane protein 161A [Source:MGI Symbol;Acc:MGI:2384577]"
"ENSMUSG00000027482","Bpifa3","BPI fold containing family A, member 3 [Source:MGI Symbol;Acc:MGI:1920638]"
"ENSMUSG00000034206","",""
"ENSMUSG00000018921","Pelp1","proline, glutamic acid and leucine rich protein 1 [Source:MGI Symbol;Acc:MGI:1922523]"
"ENSMUSG00000005656","Snx6","sorting nexin 6 [Source:MGI Symbol;Acc:MGI:1919433]"
"ENSMUSG00000041534","Rbp3","retinol binding protein 3, interstitial [Source:MGI Symbol;Acc:MGI:97878]"
"ENSMUSG00000038676","Ucn","urocortin [Source:MGI Symbol;Acc:MGI:1276123]"
"ENSMUSG00000067285","Gm16223","predicted gene 16223 [Source:MGI Symbol;Acc:MGI:3648966]"
"ENSMUSG00000021993","Mipep","mitochondrial intermediate peptidase [Source:MGI Symbol;Acc:MGI:1917728]"
"ENSMUSG00000025488","Cox8b","cytochrome c oxidase subunit VIIIb [Source:MGI Symbol;Acc:MGI:105958]"
"ENSMUSG00000004902","Slc25a18","solute carrier family 25 (mitochondrial carrier), member 18 [Source:MGI Symbol;Acc:MGI:1919053]"
"ENSMUSG00000103906","Tigd5","tigger transposable element derived 5 [Source:MGI Symbol;Acc:MGI:2145902]"
"ENSMUSG00000077366","Gm23484","predicted gene, 23484 [Source:MGI Symbol;Acc:MGI:5453261]"
"ENSMUSG00000040592","Cd79b","CD79B antigen [Source:MGI Symbol;Acc:MGI:96431]"
"ENSMUSG00000028958","Tmub1","transmembrane and ubiquitin-like domain containing 1 [Source:MGI Symbol;Acc:MGI:1923764]"
"ENSMUSG00000001700","Gramd3","GRAM domain containing 3 [Source:MGI Symbol;Acc:MGI:1914815]"
"ENSMUSG00000106341","Gm43330","predicted gene 43330 [Source:MGI Symbol;Acc:MGI:5663467]"
"ENSMUSG00000098078","Gm26992","predicted gene, 26992 [Source:MGI Symbol;Acc:MGI:5504107]"
"ENSMUSG00000089017","Gm25519","predicted gene, 25519 [Source:MGI Symbol;Acc:MGI:5455296]"
"ENSMUSG00000044583","Tlr7","toll-like receptor 7 [Source:MGI Symbol;Acc:MGI:2176882]"
"ENSMUSG00000000794","Kcnn3","potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3 [Source:MGI Symbol;Acc:MGI:2153183]"
"ENSMUSG00000035547","Capn5","calpain 5 [Source:MGI Symbol;Acc:MGI:1100859]"
"ENSMUSG00000025255","Zfhx4","zinc finger homeodomain 4 [Source:MGI Symbol;Acc:MGI:2137668]"
"ENSMUSG00000028048","Gba","glucosidase, beta, acid [Source:MGI Symbol;Acc:MGI:95665]"
"ENSMUSG00000075574","Defb48","defensin beta 48 [Source:MGI Symbol;Acc:MGI:3646223]"
"ENSMUSG00000049676","",""
"ENSMUSG00000031563","Wwc2","WW, C2 and coiled-coil domain containing 2 [Source:MGI Symbol;Acc:MGI:1261872]"
"ENSMUSG00000028837","Psmb2","proteasome (prosome, macropain) subunit, beta type 2 [Source:MGI Symbol;Acc:MGI:1347045]"
"ENSMUSG00000060244","Alyref2","Aly/REF export factor 2 [Source:MGI Symbol;Acc:MGI:1913144]"
"ENSMUSG00000029417","Cxcl9","chemokine (C-X-C motif) ligand 9 [Source:MGI Symbol;Acc:MGI:1352449]"
"ENSMUSG00000065507","Mir204","microRNA 204 [Source:MGI Symbol;Acc:MGI:2676879]"
"ENSMUSG00000042298","Ttc19","tetratricopeptide repeat domain 19 [Source:MGI Symbol;Acc:MGI:1920045]"
"ENSMUSG00000022129","Dct","dopachrome tautomerase [Source:MGI Symbol;Acc:MGI:102563]"
"ENSMUSG00000021176","Efcab11","EF-hand calcium binding domain 11 [Source:MGI Symbol;Acc:MGI:1926017]"
"ENSMUSG00000059663","",""
"ENSMUSG00000028614","Ndc1","NDC1 transmembrane nucleoporin [Source:MGI Symbol;Acc:MGI:1920037]"
"ENSMUSG00000089917","Uckl1","uridine-cytidine kinase 1-like 1 [Source:MGI Symbol;Acc:MGI:1915806]"
"ENSMUSG00000030243","Recql","RecQ protein-like [Source:MGI Symbol;Acc:MGI:103021]"
"ENSMUSG00000040828","Catsperd","catsper channel auxiliary subunit delta [Source:MGI Symbol;Acc:MGI:2147030]"
"ENSMUSG00000042895","Abra","actin-binding Rho activating protein [Source:MGI Symbol;Acc:MGI:2444891]"
"ENSMUSG00000075269","Bex6","brain expressed family member 6 [Source:MGI Symbol;Acc:MGI:3588247]"
"ENSMUSG00000036270","Edc4","enhancer of mRNA decapping 4 [Source:MGI Symbol;Acc:MGI:2446249]"
"ENSMUSG00000053754","Chd8","chromodomain helicase DNA binding protein 8 [Source:MGI Symbol;Acc:MGI:1915022]"
"ENSMUSG00000097018","Gm26872","predicted gene, 26872 [Source:MGI Symbol;Acc:MGI:5477366]"
"ENSMUSG00000063428","Ddo","D-aspartate oxidase [Source:MGI Symbol;Acc:MGI:1925528]"
"ENSMUSG00000027546","Atp9a","ATPase, class II, type 9A [Source:MGI Symbol;Acc:MGI:1330826]"
"ENSMUSG00000076598","",""
"ENSMUSG00000030963","Umod","uromodulin [Source:MGI Symbol;Acc:MGI:102674]"
"ENSMUSG00000096849","Gm25598","predicted gene, 25598 [Source:MGI Symbol;Acc:MGI:5455375]"
"ENSMUSG00000059495","Arhgef12","Rho guanine nucleotide exchange factor (GEF) 12 [Source:MGI Symbol;Acc:MGI:1916882]"
"ENSMUSG00000039841","Zfp800","zinc finger protein 800 [Source:MGI Symbol;Acc:MGI:1889334]"
"ENSMUSG00000055030","Sprr2e","small proline-rich protein 2E [Source:MGI Symbol;Acc:MGI:1330346]"
"ENSMUSG00000040713","Creg1","cellular repressor of E1A-stimulated genes 1 [Source:MGI Symbol;Acc:MGI:1344382]"
"ENSMUSG00000004885","Crabp2","cellular retinoic acid binding protein II [Source:MGI Symbol;Acc:MGI:88491]"
"ENSMUSG00000095236","Olfr38","olfactory receptor 38 [Source:MGI Symbol;Acc:MGI:1313140]"
"ENSMUSG00000087425","Gm15404","predicted gene 15404 [Source:MGI Symbol;Acc:MGI:3705186]"
"ENSMUSG00000046240","Hepacam","hepatocyte cell adhesion molecule [Source:MGI Symbol;Acc:MGI:1920177]"
"ENSMUSG00000033047","Eif3l","eukaryotic translation initiation factor 3, subunit L [Source:MGI Symbol;Acc:MGI:2386251]"
"ENSMUSG00000027207","Galk2","galactokinase 2 [Source:MGI Symbol;Acc:MGI:1917226]"
"ENSMUSG00000098577","Gm27445","predicted gene, 27445 [Source:MGI Symbol;Acc:MGI:5530827]"
"ENSMUSG00000038215","Cep44","centrosomal protein 44 [Source:MGI Symbol;Acc:MGI:3525111]"
"ENSMUSG00000048070","Pirt","phosphoinositide-interacting regulator of transient receptor potential channels [Source:MGI Symbol;Acc:MGI:2443635]"
"ENSMUSG00000025538","Sumf2","sulfatase modifying factor 2 [Source:MGI Symbol;Acc:MGI:1915152]"
"ENSMUSG00000107773","",""
"ENSMUSG00000089768","",""
"ENSMUSG00000080316","Spaca6","sperm acrosome associated 6 [Source:MGI Symbol;Acc:MGI:1922452]"
"ENSMUSG00000055874","Foxi3","forkhead box I3 [Source:MGI Symbol;Acc:MGI:3511278]"
"ENSMUSG00000020359","Phykpl","5-phosphohydroxy-L-lysine phospholyase [Source:MGI Symbol;Acc:MGI:1920197]"
"ENSMUSG00000080485","Gm23493","predicted gene, 23493 [Source:MGI Symbol;Acc:MGI:5453270]"
"ENSMUSG00000022619","Mapk8ip2","mitogen-activated protein kinase 8 interacting protein 2 [Source:MGI Symbol;Acc:MGI:1926555]"
"ENSMUSG00000036206","Sh3bp4","SH3-domain binding protein 4 [Source:MGI Symbol;Acc:MGI:2138297]"
"ENSMUSG00000089391","Gm23020","predicted gene, 23020 [Source:MGI Symbol;Acc:MGI:5452797]"
"ENSMUSG00000065513","Mir26a-1","microRNA 26a-1 [Source:MGI Symbol;Acc:MGI:2676900]"
"ENSMUSG00000094386","Gm25066","predicted gene, 25066 [Source:MGI Symbol;Acc:MGI:5454843]"
"ENSMUSG00000088458","Gm26373","predicted gene, 26373 [Source:MGI Symbol;Acc:MGI:5456150]"
"ENSMUSG00000034345","Gtf2h5","general transcription factor IIH, polypeptide 5 [Source:MGI Symbol;Acc:MGI:107227]"
"ENSMUSG00000097812","Gm26812","predicted gene, 26812 [Source:MGI Symbol;Acc:MGI:5477306]"
"ENSMUSG00000004788","Eif2b2","eukaryotic translation initiation factor 2B, subunit 2 beta [Source:MGI Symbol;Acc:MGI:2145118]"
"ENSMUSG00000040570","Rundc3b","RUN domain containing 3B [Source:MGI Symbol;Acc:MGI:2685286]"
"ENSMUSG00000020775","Mrpl38","mitochondrial ribosomal protein L38 [Source:MGI Symbol;Acc:MGI:1926269]"
"ENSMUSG00000050549","5730508B09Rik","RIKEN cDNA 5730508B09 gene [Source:MGI Symbol;Acc:MGI:1917867]"
"ENSMUSG00000037020","Wdr62","WD repeat domain 62 [Source:MGI Symbol;Acc:MGI:1923696]"
"ENSMUSG00000027067","Ssrp1","structure specific recognition protein 1 [Source:MGI Symbol;Acc:MGI:107912]"
"ENSMUSG00000028136","Snx27","sorting nexin family member 27 [Source:MGI Symbol;Acc:MGI:1923992]"
"ENSMUSG00000006522","Itih3","inter-alpha trypsin inhibitor, heavy chain 3 [Source:MGI Symbol;Acc:MGI:96620]"
"ENSMUSG00000046589","Lrrc8e","leucine rich repeat containing 8 family, member E [Source:MGI Symbol;Acc:MGI:1919517]"
"ENSMUSG00000063683","Glyat","glycine-N-acyltransferase [Source:MGI Symbol;Acc:MGI:2147502]"
"ENSMUSG00000094102","Ighv9-2","immunoglobulin heavy variable V9-2 [Source:MGI Symbol;Acc:MGI:3643816]"
"ENSMUSG00000102124","Gm29296","predicted gene 29296 [Source:MGI Symbol;Acc:MGI:5580002]"
"ENSMUSG00000089224","Gm22075","predicted gene, 22075 [Source:MGI Symbol;Acc:MGI:5451852]"
"ENSMUSG00000097914","Gm26838","predicted gene, 26838 [Source:MGI Symbol;Acc:MGI:5477332]"
"ENSMUSG00000019889","Ptprk","protein tyrosine phosphatase, receptor type, K [Source:MGI Symbol;Acc:MGI:103310]"
"ENSMUSG00000039501","Znfx1","zinc finger, NFX1-type containing 1 [Source:MGI Symbol;Acc:MGI:2138982]"
"ENSMUSG00000085925","Rtl1","retrotransposon-like 1 [Source:MGI Symbol;Acc:MGI:2656842]"
"ENSMUSG00000070140","Mir483","microRNA 483 [Source:MGI Symbol;Acc:MGI:3619420]"
"ENSMUSG00000040183","Ankrd6","ankyrin repeat domain 6 [Source:MGI Symbol;Acc:MGI:2154278]"
"ENSMUSG00000072683","Gm7457","predicted gene 7457 [Source:MGI Symbol;Acc:MGI:3648132]"
"ENSMUSG00000052075","1700029F12Rik","RIKEN cDNA 1700029F12 gene [Source:MGI Symbol;Acc:MGI:1913729]"
"ENSMUSG00000020241","Col6a2","collagen, type VI, alpha 2 [Source:MGI Symbol;Acc:MGI:88460]"
"ENSMUSG00000045202","Olfr123","olfactory receptor 123 [Source:MGI Symbol;Acc:MGI:2177506]"
"ENSMUSG00000001305","Rrp15","ribosomal RNA processing 15 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1914473]"
"ENSMUSG00000093239","Gm24106","predicted gene, 24106 [Source:MGI Symbol;Acc:MGI:5453883]"
"ENSMUSG00000067430","Zfp763","zinc finger protein 763 [Source:MGI Symbol;Acc:MGI:1920701]"
"ENSMUSG00000061144","Spink12","serine peptidase inhibitor, Kazal type 12 [Source:MGI Symbol;Acc:MGI:1925492]"
"ENSMUSG00000077744","Gm26343","predicted gene, 26343 [Source:MGI Symbol;Acc:MGI:5456120]"
"ENSMUSG00000105484","Gm42775","predicted gene 42775 [Source:MGI Symbol;Acc:MGI:5662912]"
"ENSMUSG00000090897","Gm44501","predicted readthrough transcript, 44501 [Source:MGI Symbol;Acc:MGI:5529083]"
"ENSMUSG00000021565","Slc6a19","solute carrier family 6 (neurotransmitter transporter), member 19 [Source:MGI Symbol;Acc:MGI:1921588]"
"ENSMUSG00000028051","Hcn3","hyperpolarization-activated, cyclic nucleotide-gated K+ 3 [Source:MGI Symbol;Acc:MGI:1298211]"
"ENSMUSG00000026749","Nek6","NIMA (never in mitosis gene a)-related expressed kinase 6 [Source:MGI Symbol;Acc:MGI:1891638]"
"ENSMUSG00000029406","Pitpnm2","phosphatidylinositol transfer protein, membrane-associated 2 [Source:MGI Symbol;Acc:MGI:1336192]"
"ENSMUSG00000033615","Cplx1","complexin 1 [Source:MGI Symbol;Acc:MGI:104727]"
"ENSMUSG00000022235","Cmbl","carboxymethylenebutenolidase-like (Pseudomonas) [Source:MGI Symbol;Acc:MGI:1916824]"
"ENSMUSG00000089307","Gm24843","predicted gene, 24843 [Source:MGI Symbol;Acc:MGI:5454620]"
"ENSMUSG00000033542","",""
"ENSMUSG00000011008","Mcoln2","mucolipin 2 [Source:MGI Symbol;Acc:MGI:1915529]"
"ENSMUSG00000084422","Gm25108","predicted gene, 25108 [Source:MGI Symbol;Acc:MGI:5454885]"
"ENSMUSG00000027248","Pdia3","protein disulfide isomerase associated 3 [Source:MGI Symbol;Acc:MGI:95834]"
"ENSMUSG00000031683","Lsm6","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:MGI Symbol;Acc:MGI:1925901]"
"ENSMUSG00000034484","Snx2","sorting nexin 2 [Source:MGI Symbol;Acc:MGI:1915054]"
"ENSMUSG00000058755","Osm","oncostatin M [Source:MGI Symbol;Acc:MGI:104749]"
"ENSMUSG00000078002","Mir880","microRNA 880 [Source:MGI Symbol;Acc:MGI:3718571]"
"ENSMUSG00000055320","Tead1","TEA domain family member 1 [Source:MGI Symbol;Acc:MGI:101876]"
"ENSMUSG00000009070","Rsph14","radial spoke head homolog 14 (Chlamydomonas) [Source:MGI Symbol;Acc:MGI:1918486]"
"ENSMUSG00000087184","Gm11650","predicted gene 11650 [Source:MGI Symbol;Acc:MGI:3650132]"
"ENSMUSG00000104921","Gm23927","predicted gene, 23927 [Source:MGI Symbol;Acc:MGI:5453704]"
"ENSMUSG00000102636","Gm31466","predicted gene, 31466 [Source:MGI Symbol;Acc:MGI:5590625]"
"ENSMUSG00000088099","Gm23673","predicted gene, 23673 [Source:MGI Symbol;Acc:MGI:5453450]"
"ENSMUSG00000098917","Mir7654","microRNA 7654 [Source:MGI Symbol;Acc:MGI:5531130]"
"ENSMUSG00000093388","Gm22655","predicted gene, 22655 [Source:MGI Symbol;Acc:MGI:5452432]"
"ENSMUSG00000028093","Acp6","acid phosphatase 6, lysophosphatidic [Source:MGI Symbol;Acc:MGI:1931010]"
"ENSMUSG00000087949","Gm24251","predicted gene, 24251 [Source:MGI Symbol;Acc:MGI:5454028]"
"ENSMUSG00000031684","Slc10a7","solute carrier family 10 (sodium/bile acid cotransporter family), member 7 [Source:MGI Symbol;Acc:MGI:1924025]"
"ENSMUSG00000007610","Gtpbp3","GTP binding protein 3 [Source:MGI Symbol;Acc:MGI:1917609]"
"ENSMUSG00000099161","Mir6419","microRNA 6419 [Source:MGI Symbol;Acc:MGI:5531095]"
"ENSMUSG00000017999","Ddx27","DEAD (Asp-Glu-Ala-Asp) box polypeptide 27 [Source:MGI Symbol;Acc:MGI:2385884]"
"ENSMUSG00000080990","Olfr118","olfactory receptor 118 [Source:MGI Symbol;Acc:MGI:2177501]"
"ENSMUSG00000098291","Mir6973a","microRNA 6973a [Source:MGI Symbol;Acc:MGI:5531349]"
"ENSMUSG00000096872","Scgb2a2","secretoglobin, family 2A, member 2 [Source:MGI Symbol;Acc:MGI:3780828]"
"ENSMUSG00000094186","Gm1553","predicted gene 1553 [Source:MGI Symbol;Acc:MGI:2686399]"
"ENSMUSG00000035007","Rundc1","RUN domain containing 1 [Source:MGI Symbol;Acc:MGI:2144506]"
"ENSMUSG00000105769","Gm43351","predicted gene 43351 [Source:MGI Symbol;Acc:MGI:5663488]"
"ENSMUSG00000033882","Rbm46","RNA binding motif protein 46 [Source:MGI Symbol;Acc:MGI:3645057]"
"ENSMUSG00000100798","Gm19589","predicted gene, 19589 [Source:MGI Symbol;Acc:MGI:5011774]"
"ENSMUSG00000065204","Gm24610","predicted gene, 24610 [Source:MGI Symbol;Acc:MGI:5454387]"
"ENSMUSG00000005161","Prdx2","peroxiredoxin 2 [Source:MGI Symbol;Acc:MGI:109486]"
"ENSMUSG00000105874","Gm44344","predicted gene, 44344 [Source:MGI Symbol;Acc:MGI:5690736]"
"ENSMUSG00000010097","Nxf1","nuclear RNA export factor 1 [Source:MGI Symbol;Acc:MGI:1858330]"
"ENSMUSG00000104825","Gm42592","predicted gene 42592 [Source:MGI Symbol;Acc:MGI:5662729]"
"ENSMUSG00000106355","n-TSaga9","nuclear encoded tRNA serine 9 (anticodon AGA) [Source:MGI Symbol;Acc:MGI:4414029]"
"ENSMUSG00000106674","Gm43153","predicted gene 43153 [Source:MGI Symbol;Acc:MGI:5663290]"
"ENSMUSG00000097052","Snhg7","small nucleolar RNA host gene 7 [Source:MGI Symbol;Acc:MGI:1919341]"
"ENSMUSG00000064566","Gm24144","predicted gene, 24144 [Source:MGI Symbol;Acc:MGI:5453921]"
"ENSMUSG00000001240","Ramp2","receptor (calcitonin) activity modifying protein 2 [Source:MGI Symbol;Acc:MGI:1859650]"
"ENSMUSG00000044951","Mylk4","myosin light chain kinase family, member 4 [Source:MGI Symbol;Acc:MGI:3643758]"
"ENSMUSG00000025135","Anapc11","anaphase promoting complex subunit 11 [Source:MGI Symbol;Acc:MGI:1913406]"
"ENSMUSG00000085619","4930555B12Rik","RIKEN cDNA 4930555B12 gene [Source:MGI Symbol;Acc:MGI:1925336]"
"ENSMUSG00000038121","Fam210a","family with sequence similarity 210, member A [Source:MGI Symbol;Acc:MGI:1914000]"
"ENSMUSG00000100599","",""
"ENSMUSG00000040061","Plcb2","phospholipase C, beta 2 [Source:MGI Symbol;Acc:MGI:107465]"
"ENSMUSG00000060961","Slc4a4","solute carrier family 4 (anion exchanger), member 4 [Source:MGI Symbol;Acc:MGI:1927555]"
"ENSMUSG00000044595","Dnd1","DND microRNA-mediated repression inhibitor 1 [Source:MGI Symbol;Acc:MGI:2447763]"
"ENSMUSG00000035597","Prpf39","pre-mRNA processing factor 39 [Source:MGI Symbol;Acc:MGI:104602]"
"ENSMUSG00000093102","Mir3475","microRNA 3475 [Source:MGI Symbol;Acc:MGI:4441442]"
