ensembl_gene_id,external_gene_name,"gene_description"
ENSG00000234631,AL162407.1,"CDNA FLJ20147 fis, clone COL07954, HCG1781466, Uncharacterized protein  "
ENSG00000201126,RNU6-773P,"RNA, U6 small nuclear 773, pseudogene "
ENSG00000235149,RP11-45I20.1,""
ENSG00000233173,VN1R34P,"vomeronasal 1 receptor 34 pseudogene "
ENSG00000237380,HOXD-AS2,"HOXD cluster antisense RNA 2 "
ENSG00000241188,RN7SL165P,"RNA, 7SL, cytoplasmic 165, pseudogene "
ENSG00000252484,RN7SKP49,"RNA, 7SK small nuclear pseudogene 49 "
ENSG00000224039,AC091493.1,""
ENSG00000146416,AIG1,"androgen-induced 1 "
ENSG00000231018,EIF4A1P3,"eukaryotic translation initiation factor 4A1 pseudogene 3 "
ENSG00000213109,RP11-55K22.2,""
ENSG00000233328,PFN1P1,"profilin 1 pseudogene 1 "
ENSG00000235613,NSRP1P1,"nuclear speckle splicing regulatory protein 1 pseudogene 1 "
ENSG00000255461,OR8I1P,"olfactory receptor, family 8, subfamily I, member 1 pseudogene "
ENSG00000207816,MIR124-2,"microRNA 124-2 "
ENSG00000236345,RP11-59D5__B.2,""
ENSG00000122188,LAX1,"lymphocyte transmembrane adaptor 1 "
ENSG00000226698,RP1-50O24.6,""
ENSG00000264866,Metazoa_SRP,"Metazoan signal recognition particle RNA "
ENSG00000129071,MBD4,"methyl-CpG binding domain protein 4 "
ENSG00000236773,RP11-365O16.1,""
ENSG00000197185,SSXP1,"SSX family pseudogene 1 "
ENSG00000043591,ADRB1,"adrenoceptor beta 1 "
ENSG00000239034,snoU13,"Small nucleolar RNA U13 "
ENSG00000185203,WASIR1,"WASH and IL9R antisense RNA 1 "
ENSG00000264818,MIR3714,"microRNA 3714 "
ENSG00000219653,GCNT1P4,"glucosaminyl (N-acetyl) transferase 1, core 2 pseudogene 4 "
ENSG00000172746,RP11-344H11.4,""
ENSG00000225368,HCG15,"HLA complex group 15 (non-protein coding) "
ENSG00000255022,RP11-665E10.1,""
ENSG00000231264,RP11-73B2.7,""
ENSG00000201898,SNORA72,"Small nucleolar RNA SNORA72 "
ENSG00000232015,HSPE1P25,"heat shock 10kDa protein 1 pseudogene 25 "
ENSG00000219392,RP1-265C24.5,""
ENSG00000188846,RPL14,"ribosomal protein L14 "
ENSG00000226441,PLCL2-AS1,"PLCL2 antisense RNA 1 "
ENSG00000232628,RP11-365O16.3,""
ENSG00000230364,RPL4P3,"ribosomal protein L4 pseudogene 3 "
ENSG00000222727,RNU4-64P,"RNA, U4 small nuclear 64, pseudogene "
ENSG00000254794,RP11-665E10.3,""
ENSG00000207247,Y_RNA,"Y RNA "
ENSG00000254722,FAM8A2P,"family with sequence similarity 8, member A2 pseudogene "
ENSG00000212395,SNORA67,"Small nucleolar RNA SNORA67 "
ENSG00000253013,SNORA31,"Small nucleolar RNA SNORA31 "
ENSG00000253750,RP11-21C4.4,""
ENSG00000230350,RPL35AP3,"ribosomal protein L35a pseudogene 3 "
ENSG00000155368,DBI,"diazepam binding inhibitor (GABA receptor modulator, acyl-CoA binding protein) "
ENSG00000228660,VN1R35P,"vomeronasal 1 receptor 35 pseudogene "
ENSG00000255516,RP11-164N3.1,""
ENSG00000250327,RP11-173M11.2,""
ENSG00000091129,NRCAM,"neuronal cell adhesion molecule "
ENSG00000255134,OR8K2P,"olfactory receptor, family 8, subfamily K, member 2 pseudogene "
ENSG00000232120,RP11-349P19.1,""
ENSG00000237101,RP11-365O16.6,""
ENSG00000224064,RP11-344H11.5,""
ENSG00000232261,RP4-560B9.5,""
ENSG00000252351,RNU6ATAC12P,"RNA, U6atac small nuclear 12, pseudogene "
ENSG00000252976,AC090644.1,""
ENSG00000253800,RP11-21C4.5,""
ENSG00000240244,GAPDHP33,"glyceraldehyde 3 phosphate dehydrogenase pseudogene 33 "
ENSG00000243286,HCG16,"HLA complex group 16 (non-protein coding) "
ENSG00000231780,AC090960.1,""
ENSG00000236687,RP11-323H21.3,""
ENSG00000217811,HNRNPDP2,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa) pseudogene 2 "
ENSG00000221782,MIR548F2,"microRNA 548f-2 "
ENSG00000242208,RPL5P29,"ribosomal protein L5 pseudogene 29 "
ENSG00000251008,ORAOV1P1,"oral cancer overexpressed 1 pseudogene 1 "
ENSG00000237654,AP003025.2,""
ENSG00000235927,NEXN-AS1,"NEXN antisense RNA 1 "
ENSG00000164855,TMEM184A,"transmembrane protein 184A "
ENSG00000221406,MIR320B2,"microRNA 320b-2 "
ENSG00000255102,RP11-164N3.2,""
ENSG00000230639,VN1R36P,"vomeronasal 1 receptor 36 pseudogene "
ENSG00000273118,AC079610.1,""
ENSG00000237979,AC007389.1,""
ENSG00000237043,OR2AD1P,"olfactory receptor, family 2, subfamily AD, member 1 pseudogene "
ENSG00000164904,ALDH7A1,"aldehyde dehydrogenase 7 family, member A1 "
ENSG00000225294,OSTCP2,"oligosaccharyltransferase complex subunit pseudogene 2 "
ENSG00000176232,RP5-1193P9.4,""
ENSG00000207744,MIR10B,"microRNA 10b "
ENSG00000230940,RP11-32B11.2,""
ENSG00000229742,RP11-365O16.5,""
ENSG00000255241,RP11-164N3.3,""
ENSG00000114374,USP9Y,"ubiquitin specific peptidase 9, Y-linked "
ENSG00000233913,CTC-575D19.1,""
ENSG00000243828,RP11-307F22.2,""
ENSG00000221388,AC093865.1,""
ENSG00000272729,RP11-387A1.5,""
ENSG00000260941,LINC00622,"long intergenic non-protein coding RNA 622 "
ENSG00000241149,RP11-561N12.2,""
ENSG00000254903,OR8L1P,"olfactory receptor, family 8, subfamily L, member 1 pseudogene "
ENSG00000225391,RP11-55K22.5,""
ENSG00000234308,AC093381.2,""
ENSG00000206690,Y_RNA,"Y RNA "
ENSG00000251165,F11-AS1,"F11 antisense RNA 1 "
ENSG00000229985,RP11-40H20.5,""
ENSG00000273338,RP11-386I14.4,""
ENSG00000271459,RP4-560B9.6,""
ENSG00000011485,PPP5C,"protein phosphatase 5, catalytic subunit "
ENSG00000266581,MIR3166,"microRNA 3166 "
ENSG00000223739,AC007389.2,""
ENSG00000198857,HSD3BP5,"hydroxy-delta-5-steroid dehydrogenase, 3 beta, pseudogene 5 "
ENSG00000092758,COL9A3,"collagen, type IX, alpha 3 "
ENSG00000236741,RP4-560B9.4,""
ENSG00000228564,LINC01005,"long intergenic non-protein coding RNA 1005 "
ENSG00000249489,GAPDHP70,"glyceraldehyde 3 phosphate dehydrogenase pseudogene 70 "
ENSG00000221105,AL159997.1,""
ENSG00000206887,RNU6-1008P,"RNA, U6 small nuclear 1008, pseudogene "
ENSG00000270815,RP11-56O18.1,""
ENSG00000174456,C12orf76,"chromosome 12 open reading frame 76 "
ENSG00000243029,RN7SL635P,"RNA, 7SL, cytoplasmic 635, pseudogene "
ENSG00000221312,AL109922.1,""
ENSG00000213561,RP11-386I14.2,""
ENSG00000235399,RP11-204P2.3,""
ENSG00000252674,RNA5SP102,"RNA, 5S ribosomal pseudogene 102 "
ENSG00000238856,snoU13,"Small nucleolar RNA U13 "
ENSG00000256352,AL109922.2,""
ENSG00000251900,VTRNA2-2P,"vault RNA 2-2, pseudogene "
ENSG00000231254,PCED1CP,"PC-esterase domain containing 1C, pseudogene "
ENSG00000254192,CTC-558O2.2,""
ENSG00000266618,MIR4742,"microRNA 4742 "
ENSG00000265864,AC092117.2,""
ENSG00000252476,SNORD112,"Small nucleolar RNA SNORD112 "
ENSG00000235725,AC007389.3,""
ENSG00000214973,CHCHD3P3,"coiled-coil-helix-coiled-coil-helix domain containing 3 pseudogene 3 "
ENSG00000269293,ZSCAN16-AS1,"ZSCAN16 antisense RNA 1 "
ENSG00000221719,SNORA3,"Small nucleolar RNA SNORA3/SNORA45 family "
ENSG00000177548,RABEP2,"rabaptin, RAB GTPase binding effector protein 2 "
ENSG00000150051,MKX,"mohawk homeobox "
ENSG00000255466,OR5AL2P,"olfactory receptor, family 5, subfamily AL, member 2 pseudogene "
ENSG00000214558,RP11-74E24.2,""
ENSG00000214652,RP11-3N2.13,""
ENSG00000229991,AKR1B1P1,"aldehyde reductase family 1, member B1 pseudogene 1 "
ENSG00000236082,RP11-217L21.1,""
ENSG00000224189,HOXD-AS1,"HOXD cluster antisense RNA 1 "
ENSG00000213108,BTF3L4P3,"basic transcription factor 3-like 4 pseudogene 3 "
ENSG00000252521,RNU5D-2P,"RNA, U5D small nuclear 2, pseudogene "
ENSG00000206726,RNU6-259P,"RNA, U6 small nuclear 259, pseudogene "
ENSG00000253060,SCARNA20,"Small Cajal body specific RNA 20 "
ENSG00000214533,KRT18P33,"keratin 18 pseudogene 33 "
ENSG00000225159,NPM1P39,"nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 39 "
ENSG00000201853,snosnR60_Z15,"Small nucleolar RNA snR60/Z15/Z230/Z193/J17 "
ENSG00000224795,AP003039.3,""
ENSG00000215148,PRSS41,"protease, serine, 41 "
ENSG00000213060,RP4-612B18.3,""
ENSG00000265187,AL109612.1,""
ENSG00000224992,RP11-295G24.5,""
ENSG00000255082,GRM5-AS1,"GRM5 antisense RNA 1 "
ENSG00000235491,AC097499.1,""
ENSG00000233384,RP11-100E13.1,""
ENSG00000220483,SLC25A51P1,"solute carrier family 25, member 51 pseudogene 1 "
ENSG00000251958,RNU6-1102P,"RNA, U6 small nuclear 1102, pseudogene "
ENSG00000227440,ATP5G1P4,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9) pseudogene 4 "
ENSG00000146938,NLGN4X,"neuroligin 4, X-linked "
ENSG00000271624,RP11-651K21.1,""
ENSG00000254042,CTC-558O2.1,""
ENSG00000265899,AC007389.4,""
ENSG00000213560,RP11-386I14.3,""
ENSG00000181395,OR5AL1,"olfactory receptor, family 5, subfamily AL, member 1 (gene/pseudogene) "
ENSG00000258993,RP11-368P15.2,""
ENSG00000261839,RP1-265C24.8,""
ENSG00000225990,SNRPEP7,"small nuclear ribonucleoprotein polypeptide E pseudogene 7 "
ENSG00000272177,RP11-340F16.1,""
ENSG00000233859,ADH5P4,"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 4 "
ENSG00000238117,AP004372.1,""
ENSG00000234247,RP11-100E13.3,""
ENSG00000234433,VWA7,"von Willebrand factor A domain containing 7 "
ENSG00000223558,TRIM60P17,"tripartite motif containing 60 pseudogene 17 "
ENSG00000251723,RNU6-357P,"RNA, U6 small nuclear 357, pseudogene "
ENSG00000230533,RP11-95M15.1,""
ENSG00000258985,RP11-368P15.3,""
ENSG00000230416,OR5M4P,"olfactory receptor, family 5, subfamily M, member 4 pseudogene "
ENSG00000207113,RNU6-16P,"RNA, U6 small nuclear 16, pseudogene "
ENSG00000202263,RNA5SP22,"RNA, 5S ribosomal pseudogene 22 "
ENSG00000221524,AC074391.2,""
ENSG00000266552,AL356020.1,""
ENSG00000224700,RP11-697E14.2,""
ENSG00000221130,AP001482.1,""
ENSG00000227293,AC118345.1,""
ENSG00000233333,RNFT1P2,"ring finger protein, transmembrane 1 pseudogene 2 "
ENSG00000258731,RP11-547D23.1,""
ENSG00000252134,Y_RNA,"Y RNA "
ENSG00000115806,GORASP2,"golgi reassembly stacking protein 2, 55kDa "
ENSG00000263816,MIR548AW,"microRNA 548aw "
ENSG00000268412,AC013449.1,"Uncharacterized protein  "
ENSG00000226314,ZNF192P1,"zinc finger protein 192 pseudogene 1 "
ENSG00000224410,AC097499.2,""
ENSG00000215864,NBPF7,"neuroblastoma breakpoint family, member 7 "
ENSG00000197692,CBX3P7,"chromobox homolog 3 pseudogene 7 "
ENSG00000238262,NTM-IT,"NTM intronic transcript (non-protein coding) "
ENSG00000224311,RP11-40H20.4,""
ENSG00000224600,RP4-612B18.1,""
ENSG00000220412,RP11-95M15.2,""
ENSG00000078902,TOLLIP,"toll interacting protein "
ENSG00000222591,AC118345.2,""
ENSG00000237501,RP11-816B4.1,""
ENSG00000218890,NUFIP1P,"nuclear fragile X mental retardation protein interacting protein 1 pseudogene "
ENSG00000229400,RP11-3L21.2,""
ENSG00000237413,RP11-183M13.1,""
ENSG00000262154,LA16c-352F10.1,""
ENSG00000252703,RNU6-1182P,"RNA, U6 small nuclear 1182, pseudogene "
ENSG00000252098,Y_RNA,"Y RNA "
ENSG00000225815,AC092669.6,""
ENSG00000221281,AC002485.1,""
ENSG00000233800,RP11-295G24.4,""
ENSG00000243659,RP11-4K3__A.3,""
ENSG00000255371,OPCML-IT2,"OPCML intronic transcript 2 (non-protein coding) "
ENSG00000239141,snoU13,"Small nucleolar RNA U13 "
ENSG00000270521,RP11-24C14.1,""
ENSG00000237356,AL163953.3,""
ENSG00000200795,RNU4-1,"RNA, U4 small nuclear 1 "
ENSG00000251933,AL596330.1,""
ENSG00000067177,PHKA1,"phosphorylase kinase, alpha 1 (muscle) "
ENSG00000233540,DNM3-IT1,"DNM3 intronic transcript 1 (non-protein coding) "
ENSG00000238949,RNU7-66P,"RNA, U7 small nuclear 66 pseudogene "
ENSG00000179178,TMEM125,"transmembrane protein 125 "
ENSG00000237473,RP11-324C10.1,""
ENSG00000224458,GUSBP6,"glucuronidase, beta pseudogene 6 "
ENSG00000235195,OR2P1P,"olfactory receptor, family 2, subfamily P, member 1 pseudogene "
ENSG00000225334,RP11-449J1.1,""
ENSG00000207739,MIR218-2,"microRNA 218-2 "
ENSG00000254896,OPCML-IT1,"OPCML intronic transcript 1 (non-protein coding) "
ENSG00000269027,AC010368.2,""
ENSG00000266073,AL590874.1,""
ENSG00000207949,MIR214,"microRNA 214 "
ENSG00000226813,AC114813.1,""
ENSG00000212229,SNORD65,"Small nucleolar RNA SNORD65 "
ENSG00000206888,RNU6-48P,"RNA, U6 small nuclear 48, pseudogene "
ENSG00000172460,PRSS30P,"protease, serine, 30, pseudogene "
ENSG00000238693,snoU13,"Small nucleolar RNA U13 "
ENSG00000216097,AL357060.1,""
ENSG00000234476,RP11-496N12.6,""
ENSG00000241254,AC092669.2,""
ENSG00000230630,DNM3OS,"DNM3 opposite strand/antisense RNA "
ENSG00000105656,ELL,"elongation factor RNA polymerase II "
ENSG00000237645,RP11-521A24.1,""
ENSG00000271111,RP11-409K15.1,""
ENSG00000241547,RP11-4K3__A.5,""
ENSG00000226795,SAR1P1,""
ENSG00000238504,AP005638.1,""
ENSG00000227556,RP11-472F19.1,""
ENSG00000225680,AL163953.2,""
ENSG00000164164,OTUD4,"OTU domain containing 4 "
ENSG00000202345,Y_RNA,"Y RNA "
ENSG00000227205,PFN1P9,"profilin 1 pseudogene 9 "
ENSG00000250219,LTV1P1,"LTV1 homolog (S. cerevisiae) pseudogene 1 "
ENSG00000234956,RP11-356I2.1,""
ENSG00000255258,RP11-448P19.1,""
ENSG00000264525,MIR4778,"microRNA 4778 "
ENSG00000248965,CTB-174D11.2,""
ENSG00000227496,RP11-145A3.1,""
ENSG00000212308,RNA5SP23,"RNA, 5S ribosomal pseudogene 23 "
ENSG00000226132,RPS3AP46,"ribosomal protein S3a pseudogene 46 "
ENSG00000232164,AC092669.3,""
ENSG00000208024,MIR199A2,"microRNA 199a-2 "
ENSG00000251965,RNA5SP208,"RNA, 5S ribosomal pseudogene 208 "
ENSG00000231207,RP1-144C9.2,""
ENSG00000198825,INPP5F,"inositol polyphosphate-5-phosphatase F "
ENSG00000238015,RP4-641G12.3,""
ENSG00000206523,OR2J1,"olfactory receptor, family 2, subfamily J, member 1 (gene/pseudogene) "
ENSG00000235269,AL162759.1,""
ENSG00000234907,RP11-415H23.4,""
ENSG00000201015,RNU6-280P,"RNA, U6 small nuclear 280, pseudogene "
ENSG00000228213,NLGN1-AS1,"NLGN1 antisense RNA 1 "
ENSG00000252354,SNORD112,"Small nucleolar RNA SNORD112 "
ENSG00000226349,RP11-145A3.2,""
ENSG00000213153,RP11-259P6.3,""
ENSG00000206672,Y_RNA,"Y RNA "
ENSG00000238558,RNU7-21P,"RNA, U7 small nuclear 21 pseudogene "
ENSG00000202306,Y_RNA,"Y RNA "
ENSG00000171497,PPID,"peptidylprolyl isomerase D "
ENSG00000226446,NOTCH2P1,"notch 2 pseudogene 1 "
ENSG00000206684,RNU6-157P,"RNA, U6 small nuclear 157, pseudogene "
ENSG00000235774,AC023347.1,""
ENSG00000225184,XXbac-BCX196D17.5,""
ENSG00000227706,RP11-301G19.1,""
ENSG00000252720,RNU6-1258P,"RNA, U6 small nuclear 1258, pseudogene "
ENSG00000231922,AL138479.3,""
ENSG00000226819,MEIS1-AS3,"MEIS1 antisense RNA 3 "
ENSG00000251943,RNU6-693P,"RNA, U6 small nuclear 693, pseudogene "
ENSG00000254470,AP5B1,"adaptor-related protein complex 5, beta 1 subunit "
ENSG00000221683,AC104837.1,""
ENSG00000241169,RP4-752I6.1,""
ENSG00000264919,MIR4697,"microRNA 4697 "
ENSG00000225665,SAR1P3,""
ENSG00000223306,RNU6-1304P,"RNA, U6 small nuclear 1304, pseudogene "
ENSG00000229785,SLC25A38P1,"solute carrier family 25, member 38 pseudogene 1 "
ENSG00000235400,RP4-641G12.4,""
ENSG00000233506,OR2N1P,"olfactory receptor, family 2, subfamily N, member 1 pseudogene "
ENSG00000164070,HSPA4L,"heat shock 70kDa protein 4-like "
ENSG00000237429,RP1-159A19.4,""
ENSG00000234112,RP11-145A3.4,""
ENSG00000264674,AP000911.1,""
ENSG00000258584,FAM181A-AS1,"FAM181A antisense RNA 1 "
ENSG00000133519,ZDHHC8P1,"zinc finger, DHHC-type containing 8 pseudogene 1 "
ENSG00000213332,SLC25A5P6,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5 pseudogene 6 "
ENSG00000252982,RN7SKP234,"RNA, 7SK small nuclear pseudogene 234 "
ENSG00000255406,RP11-713P17.5,""
ENSG00000235912,RP1-159A19.3,""
ENSG00000230787,PSAT1P3,"phosphoserine aminotransferase 1 pseudogene 3 "
ENSG00000266431,MIR5580,"microRNA 5580 "
ENSG00000224228,RP1-15D23.2,""
ENSG00000232601,RP11-393N4.1,""
ENSG00000218297,OR2J4P,"olfactory receptor, family 2, subfamily J, member 4 pseudogene "
ENSG00000270509,RP11-301G19.2,""
ENSG00000230749,MEIS1-AS2,"MEIS1 antisense RNA 2 "
ENSG00000242861,RP11-285F7.2,""
ENSG00000207300,Y_RNA,"Y RNA "
ENSG00000196205,EEF1A1P5,"eukaryotic translation elongation factor 1 alpha 1 pseudogene 5 "
ENSG00000224004,ATP5C1P1,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 pseudogene 1 "
ENSG00000233975,RP11-288L9.1,""
ENSG00000261662,RP5-1042I8.7,""
ENSG00000227177,AIMP1P2,"aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 pseudogene 2 "
ENSG00000266388,AC093430.1,""
ENSG00000248322,RP4-559A3.6,""
ENSG00000223504,RP11-542F9.1,""
ENSG00000213169,RP11-393N4.2,""
ENSG00000235011,RP4-726F1.1,""
ENSG00000244522,AC092669.1,""
ENSG00000273406,RP11-114O18.1,""
ENSG00000212387,RNU6-1055P,"RNA, U6 small nuclear 1055, pseudogene "
ENSG00000084733,RAB10,"RAB10, member RAS oncogene family "
ENSG00000204241,RP11-713P17.3,""
ENSG00000224000,RP3-471M13.2,""
ENSG00000232676,ADH5P2,"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 2 "
ENSG00000227309,AC140076.1,""
ENSG00000141577,AZI1,"5-azacytidine induced 1 "
ENSG00000249409,RP11-501E14.1,""
ENSG00000252382,AC108865.1,""
ENSG00000237499,RP11-356I2.4,""
ENSG00000249624,AP000295.9,""
ENSG00000225886,RP11-288L9.4,""
ENSG00000258753,RP11-794A8.1,""
ENSG00000226497,RP11-406O16.1,""
ENSG00000248222,CTB-174D11.1,""
ENSG00000253020,RN7SKP40,"RNA, 7SK small nuclear pseudogene 40 "
ENSG00000271841,U7,"U7 small nuclear RNA "
ENSG00000213032,NDUFA3P3,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3 pseudogene 3 "
ENSG00000265549,AL935156.2,""
ENSG00000103707,MTFMT,"mitochondrial methionyl-tRNA formyltransferase "
ENSG00000207149,RNU6-465P,"RNA, U6 small nuclear 465, pseudogene "
ENSG00000172818,OVOL1,"ovo-like zinc finger 1 "
ENSG00000230497,RP11-432A8.2,""
ENSG00000233133,AC104451.2,""
ENSG00000250829,RP11-11N5.1,""
ENSG00000252019,RNU6ATAC9P,"RNA, U6atac small nuclear 9, pseudogene "
ENSG00000206767,RNU6-949P,"RNA, U6 small nuclear 949, pseudogene "
ENSG00000273131,RP6-42F4.1,""
ENSG00000266675,AL606923.1,""
ENSG00000225541,AC002480.5,""
ENSG00000226363,AC009336.24,""
ENSG00000216901,AL022393.7,""
ENSG00000230849,GOT2P2,"glutamic-oxaloacetic transaminase 2 pseudogene 2 "
ENSG00000272562,RP11-396C23.4,""
ENSG00000254752,OR5M2P,"olfactory receptor, family 5, subfamily M, member 2 pseudogene "
ENSG00000232046,AC007392.3,""
ENSG00000213383,AC104297.1,""
ENSG00000265432,MIR4308,"microRNA 4308 "
ENSG00000212359,RNU6-550P,"RNA, U6 small nuclear 550, pseudogene "
ENSG00000226662,CHMP1AP1,"charged multivesicular body protein 1A pseudogene 1 "
ENSG00000218834,RP11-361F19.1,""
ENSG00000235756,RP11-339A11.1,""
ENSG00000214286,PDCL3P3,"phosducin-like 3 pseudogene 3 "
ENSG00000235401,OR2H4P,"olfactory receptor, family 2, subfamily H, member 4 pseudogene "
ENSG00000251609,SETP12,"SET pseudogene 12 "
ENSG00000236933,RP11-439A17.7,""
ENSG00000265768,MIR4506,"microRNA 4506 "
ENSG00000230292,NAALADL2-AS3,"NAALADL2 antisense RNA 3 "
ENSG00000258872,FDPSP3,"farnesyl diphosphate synthase pseudogene 3 "
ENSG00000225518,RP11-396C23.2,""
ENSG00000260322,RP11-339A11.2,""
ENSG00000232949,AC002480.4,""
ENSG00000226238,AC132807.1,""
ENSG00000254411,CTD-3051L14.13,""
ENSG00000230910,RP3-525N10.2,""
ENSG00000218175,AC016739.2,""
ENSG00000236407,HMGB1P18,"high mobility group box 1 pseudogene 18 "
ENSG00000272477,RP11-158G18.1,""
ENSG00000272218,RP11-11N5.3,""
ENSG00000207095,RNU6-424P,"RNA, U6 small nuclear 424, pseudogene "
ENSG00000238033,AC002480.2,""
ENSG00000270598,RP11-396C23.3,""
ENSG00000117419,ERI3,"ERI1 exoribonuclease family member 3 "
ENSG00000261109,PLEC,"plectin "
ENSG00000227193,RP11-439A17.4,""
ENSG00000226375,RP3-395P12.2,""
ENSG00000231344,RP3-426I6.2,""
ENSG00000266033,AL606519.1,""
ENSG00000249539,MRPS36P2,"mitochondrial ribosomal protein S36 pseudogene 2 "
ENSG00000029363,BCLAF1,"BCL2-associated transcription factor 1 "
ENSG00000254490,OR5M7P,"olfactory receptor, family 5, subfamily M, member 7 pseudogene "
ENSG00000230384,AC016739.1,""
ENSG00000234478,RP11-275I14.4,""
ENSG00000223006,RN7SKP137,"RNA, 7SK small nuclear pseudogene 137 "
ENSG00000225598,RP11-339D23.1,""
ENSG00000224392,OR2G1P,"olfactory receptor, family 2, subfamily G, member 1 pseudogene "
ENSG00000175699,LINC00521,"long intergenic non-protein coding RNA 521 "
ENSG00000268993,RP11-439A17.5,""
ENSG00000226779,NAALADL2-AS2,"NAALADL2 antisense RNA 2 "
ENSG00000237260,AC073069.2,""
ENSG00000250344,RP11-647P12.1,""
ENSG00000230833,RPEP3,"ribulose-5-phosphate-3-epimerase pseudogene 3 "
ENSG00000218016,ZNF192P2,"zinc finger protein 192 pseudogene 2 "
ENSG00000251817,snoU13,"Small nucleolar RNA U13 "
ENSG00000254660,CTD-3051L14.14,""
ENSG00000265498,AL158051.1,""
ENSG00000155066,PROM2,"prominin 2 "
ENSG00000267942,AC090673.2,"Uncharacterized protein  "
ENSG00000265186,AC068706.2,""
ENSG00000264974,MIR4789,"microRNA 4789 "
ENSG00000223570,RP11-275I14.2,""
ENSG00000213559,HNRNPA1P64,"heterogeneous nuclear ribonucleoprotein A1 pseudogene 64 "
ENSG00000232751,RP11-296O14.1,""
ENSG00000265362,AL358133.1,""
ENSG00000249742,RP11-217E13.1,""
ENSG00000269971,RP3-426I6.5,""
ENSG00000271302,RP11-647P12.2,""
ENSG00000221304,AC068706.1,""
ENSG00000233924,AL160471.6,""
ENSG00000199792,RNU6-1233P,"RNA, U6 small nuclear 1233, pseudogene "
ENSG00000254648,RP11-713P17.4,""
ENSG00000252183,RNU6-948P,"RNA, U6 small nuclear 948, pseudogene "
ENSG00000219085,NPM1P37,"nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 37 "
ENSG00000270031,RP3-426I6.6,""
ENSG00000226004,RP11-10J5.1,""
ENSG00000229434,AC017048.1,""
ENSG00000213244,HIST2H3DP1,"histone cluster 2, H3d pseudogene 1 "
ENSG00000201648,RNU4-91P,"RNA, U4 small nuclear 91, pseudogene "
ENSG00000207148,Y_RNA,"Y RNA "
ENSG00000251547,OR12D1,"olfactory receptor, family 12, subfamily D, member 1 (gene/pseudogene) "
ENSG00000258050,RP11-698F20.3,""
ENSG00000248409,KB-1269D1.8,""
ENSG00000254603,OR5M6P,"olfactory receptor, family 5, subfamily M, member 6 pseudogene "
ENSG00000243646,IL10RB,"interleukin 10 receptor, beta "
ENSG00000236241,RP11-744O11.2,""
ENSG00000231615,RP11-296O14.2,""
ENSG00000223062,RNU6-1245P,"RNA, U6 small nuclear 1245, pseudogene "
ENSG00000238545,snoU13,"Small nucleolar RNA U13 "
ENSG00000213480,RP11-364P2.2,""
ENSG00000254481,PTP4A2P2,"protein tyrosine phosphatase type IVA, member 2 pseudogene 2 "
ENSG00000187187,ZNF546,"zinc finger protein 546 "
ENSG00000227062,RP11-115A15.4,""
ENSG00000252947,SCARNA1,"small Cajal body-specific RNA 1 "
ENSG00000271180,RP11-665C16.8,""
ENSG00000139233,LLPH,"LLP homolog, long-term synaptic facilitation (Aplysia) "
ENSG00000239094,snoU13,"Small nucleolar RNA U13 "
ENSG00000058673,ZC3H11A,"zinc finger CCCH-type containing 11A "
ENSG00000229922,RP11-240M16.1,""
ENSG00000250971,RP11-696F12.1,""
ENSG00000241684,ADAMTS9-AS2,"ADAMTS9 antisense RNA 2 "
ENSG00000219881,GAPDHP42,"glyceraldehyde 3 phosphate dehydrogenase pseudogene 42 "
ENSG00000234928,AP000344.3,""
ENSG00000236231,AC017048.2,""
ENSG00000227050,RP11-460I13.2,""
ENSG00000203739,RP11-296O14.3,""
ENSG00000223345,HIST2H2BA,"histone cluster 2, H2ba (pseudogene) "
ENSG00000236994,YBX1P9,"Y box binding protein 1 pseudogene 9 "
ENSG00000254616,RP11-700F16.2,""
ENSG00000185701,OR5M5P,"olfactory receptor, family 5, subfamily M, member 5 pseudogene "
ENSG00000237179,AC007392.4,""
ENSG00000240130,OR5V1,"olfactory receptor, family 5, subfamily V, member 1 "
ENSG00000214192,UBE2V1P2,"ubiquitin-conjugating enzyme E2 variant 1 pseudogene 2 "
ENSG00000255348,RP11-700F16.3,""
ENSG00000272551,RP11-324L17.1,""
ENSG00000264927,AC093816.1,""
ENSG00000249747,RP11-308K2.1,""
ENSG00000270287,RP11-118H4.3,""
ENSG00000176933,TOB2P1,"transducer of ERBB2, 2 pseudogene 1 "
ENSG00000219463,RPSAP42,"ribosomal protein SA pseudogene 42 "
ENSG00000224062,TUBB4BP5,"tubulin, beta 4B class IVb pseudogene 5 "
ENSG00000216365,RPL37P15,"ribosomal protein L37 pseudogene 15 "
ENSG00000271842,snoU13,"Small nucleolar RNA U13 "
