"ENSG00000215405","NM_001145004","GOLGA6L6"
"ENSG00000177138","NM_205849","FAM9B"
"ENSG00000124762","NM_000389","CDKN1A"
"ENSG00000124762","NM_001220777","CDKN1A"
"ENSG00000124762","NM_078467","CDKN1A"
"ENSG00000128203","NM_020437","ASPHD2"
"ENSG00000112029","NM_001142522","FBXO5"
"ENSG00000111335","NM_002535","OAS2"
"ENSG00000205884","NM_001033018","DEFB136"
"ENSG00000171560","NM_000508","FGA"
"ENSG00000172201","NM_001546","ID4"
"ENSG00000197782","NM_001142579","ZNF780A"
"ENSG00000015475","NM_197966","BID"
"ENSG00000138326","NM_001142282","RPS24"
"ENSG00000138326","NM_001142284","RPS24"
"ENSG00000138326","NM_033022","RPS24"
"ENSG00000138326","NM_001142283","RPS24"
"ENSG00000189007","NM_182503","ADAT2"
"ENSG00000107807","NM_005521","TLX1"
"ENSG00000107807","NM_001195517","TLX1"
"ENSG00000114850","NM_007107","SSR3"
"ENSG00000205883","NM_001033017","DEFB135"
"ENSG00000171560","NM_021871","FGA"
"ENSG00000182631","NM_016568","RXFP3"
"ENSG00000142731","NM_001190799","PLK4"
"ENSG00000198812","NM_201550","LRRC10"
"ENSG00000197782","NM_001010880","ZNF780A"
"ENSG00000111335","NM_001032731","OAS2"
"ENSG00000138136","NM_006562","LBX1"
"ENSG00000205882","NM_001033019","DEFB134"
"ENSG00000006025","NM_145798","OSBPL7"
"ENSG00000213231","NM_004918","TCL1B"
"ENSG00000119912","NM_001165946","IDE"
"ENSG00000122970","NM_031473","IFT81"
"ENSG00000124762","NM_001220778","CDKN1A"
"ENSG00000142731","NM_001190801","PLK4"
"ENSG00000197782","NM_001142577","ZNF780A"
"ENSG00000197782","NM_001142578","ZNF780A"
"ENSG00000074370","NM_174954","ATP2A3"
"ENSG00000074370","NM_174953","ATP2A3"
"ENSG00000074370","NM_174955","ATP2A3"
"ENSG00000074370","NM_174956","ATP2A3"
"ENSG00000149313","NM_015423","AASDHPPT"
"ENSG00000015475","NM_001244569","BID"
"ENSG00000015475","NM_001196","BID"
"ENSG00000014914","NM_001145862","MTMR11"
"ENSG00000233050","NM_001195257","DEFB130"
"ENSG00000132964","NM_001260","CDK8"
"ENSG00000117399","NM_001255","CDC20"
"ENSG00000155849","NM_014800","ELMO1"
"ENSG00000155849","NM_001206480","ELMO1"
"ENSG00000188620","NM_001105574","HMX3"
"ENSG00000114686","NM_007208","MRPL3"
"ENSG00000203727","NM_001030060","SAMD5"
"ENSG00000006606","NM_006072","CCL26"
"ENSG00000155849","NM_001039459","ELMO1"
"ENSG00000002822","NM_001013837","MAD1L1"
"ENSG00000002822","NM_003550","MAD1L1"
"ENSG00000002822","NM_001013836","MAD1L1"
"ENSG00000186471","NM_178813","AKAP14"
"ENSG00000188816","NM_005519","HMX2"
"ENSG00000015475","NM_001244570","BID"
"ENSG00000243708","NM_005090","PLA2G4B"
"ENSG00000155849","NM_001206482","ELMO1"
"ENSG00000243708","NM_001114633","PLA2G4B"
"ENSG00000215343","NM_001039615","ZNF705D"
"ENSG00000187147","NM_018150","RNF220"
"ENSG00000198589","NM_006726","LRBA"
"ENSG00000106178","NM_002991","CCL24"
"ENSG00000223443","NM_201402","USP17L2"
"ENSG00000223443","NM_001256873","USP17L2"
"ENSG00000223443","NM_001256874","USP17L2"
"ENSG00000223443","NM_001256869","USP17L2"
"ENSG00000223443","NM_001256872","USP17L2"
"ENSG00000223443","NM_001256871","USP17L2"
"ENSG00000184911","NM_001080851","DMRTC1B"
"ENSG00000090659","NM_001144894","CD209"
"ENSG00000143839","NM_000537","REN"
"ENSG00000186471","NM_001008534","AKAP14"
"ENSG00000186471","NM_001008535","AKAP14"
"ENSG00000125686","NM_004774","MED1"
"ENSG00000025423","NM_003725","HSD17B6"
"ENSG00000105339","NM_014957","DENND3"
"ENSG00000170049","NM_004732","KCNAB3"
"ENSG00000105875","NM_014149","WDR91"
"ENSG00000170498","NM_002256","KISS1"
"ENSG00000122861","NM_002658","PLAU"
"ENSG00000177854","NM_003492","TMEM187"
"ENSG00000122970","NM_001143779","IFT81"
"ENSG00000120278","NM_001029884","PLEKHG1"
"ENSG00000172638","NM_016938","EFEMP2"
"ENSG00000102904","NM_018430","TSNAXIP1"
"ENSG00000154162","NM_004061","CDH12"
"ENSG00000146221","NM_182539","TCTE1"
"ENSG00000172197","NM_001080480","MBOAT1"
"ENSG00000174567","NM_198447","GOLT1A"
"ENSG00000159123","NM_033053","DMRTC1"
"ENSG00000122970","NM_014055","IFT81"
"ENSG00000170927","NM_138694","PKHD1"
"ENSG00000152402","NM_000855","GUCY1A2"
"ENSG00000079385","NM_001184813","CEACAM1"
"ENSG00000127325","NM_001282614","BEST3"
"ENSG00000122861","NM_001145031","PLAU"
"ENSG00000170927","NM_170724","PKHD1"
"ENSG00000154839","NM_145060","SKA1"
"ENSG00000154839","NM_001039535","SKA1"
"ENSG00000138079","NM_000341","SLC3A1"
"ENSG00000152402","NM_001256424","GUCY1A2"
"ENSG00000015475","NM_001244567","BID"
"ENSG00000221823","NM_000945","PPP3R1"
"ENSG00000011028","NM_006039","MRC2"
"ENSG00000084070","NM_022733","SMAP2"
"ENSG00000084070","NM_001198979","SMAP2"
"ENSG00000084070","NM_001198978","SMAP2"
"ENSG00000100565","NM_194287","C14orf166B"
"ENSG00000146955","NM_001008749","RAB19"
"ENSG00000127325","NM_152439","BEST3"
"ENSG00000015475","NM_197967","BID"
"ENSG00000127325","NM_032735","BEST3"
"ENSG00000118242","NM_018000","MREG"
"ENSG00000079385","NM_001712","CEACAM1"
"ENSG00000239779","NM_012477","WBP1"
"ENSG00000177842","NM_175888","ZNF620"
"ENSG00000076344","NM_001286486","RGS11"
"ENSG00000175048","NM_153746","ZDHHC14"
"ENSG00000175048","NM_024630","ZDHHC14"
"ENSG00000127325","NM_001282613","BEST3"
"ENSG00000084070","NM_001198980","SMAP2"
"ENSG00000101849","NM_001139468","TBL1X"
"ENSG00000005486","NM_001040456","RHBDD2"
"ENSG00000188738","NM_173651","FSIP2"
"ENSG00000111913","NM_014722","FAM65B"
"ENSG00000188037","NM_000083","CLCN1"
"ENSG00000100721","NM_001098725","TCL1A"
"ENSG00000168267","NM_178161","PTF1A"
"ENSG00000177842","NM_001256167","ZNF620"
"ENSG00000177842","NM_001256168","ZNF620"
"ENSG00000101190","NM_006602","TCFL5"
"ENSG00000076344","NM_183337","RGS11"
"ENSG00000076344","NM_003834","RGS11"
"ENSG00000127325","NM_001282615","BEST3"
"ENSG00000079385","NM_001205344","CEACAM1"
"ENSG00000079385","NM_001024912","CEACAM1"
"ENSG00000079385","NM_001184816","CEACAM1"
"ENSG00000157150","NM_003256","TIMP4"
"ENSG00000132970","NM_006646","WASF3"
"ENSG00000101849","NM_005647","TBL1X"
"ENSG00000111913","NM_015864","FAM65B"
"ENSG00000082068","NM_018034","WDR70"
"ENSG00000140563","NM_001159643","MCTP2"
"ENSG00000119048","NM_003337","UBE2B"
"ENSG00000163659","NM_015508","TIPARP"
"ENSG00000101849","NM_001139466","TBL1X"
"ENSG00000101849","NM_001139467","TBL1X"
"ENSG00000178177","NM_153686","LCORL"
"ENSG00000100721","NM_021966","TCL1A"
"ENSG00000111913","NM_001286445","FAM65B"
"ENSG00000079385","NM_001184815","CEACAM1"
"ENSG00000163659","NM_001184717","TIPARP"
"ENSG00000111913","NM_001286447","FAM65B"
"ENSG00000066322","NM_001256402","ELOVL1"
"ENSG00000066322","NM_022821","ELOVL1"
"ENSG00000066322","NM_001256399","ELOVL1"
"ENSG00000140563","NM_018349","MCTP2"
"ENSG00000119865","NM_001111101","CNRIP1"
"ENSG00000140563","NM_001159644","MCTP2"
"ENSG00000076344","NM_001286485","RGS11"
"ENSG00000163659","NM_001184718","TIPARP"
"ENSG00000005486","NM_001040457","RHBDD2"
"ENSG00000132975","NM_005288","GPR12"
"ENSG00000124678","NM_001261819","TCP11"
"ENSG00000179133","NM_153714","C10orf67"
"ENSG00000166167","NM_033637","BTRC"
"ENSG00000189350","NM_199280","FAM179A"
"ENSG00000166167","NM_003939","BTRC"
"ENSG00000119865","NM_015463","CNRIP1"
"ENSG00000141639","NM_002747","MAPK4"
"ENSG00000160602","NM_178170","NEK8"
"ENSG00000168566","NM_152551","SNRNP48"
"ENSG00000171227","NM_183240","TMEM37"
"ENSG00000178177","NM_001166139","LCORL"
"ENSG00000166478","NM_003442","ZNF143"
"ENSG00000166478","NM_001282656","ZNF143"
"ENSG00000112031","NM_019041","MTRF1L"
"ENSG00000172888","NM_001098414","ZNF621"
"ENSG00000119041","NM_012086","GTF3C3"
"ENSG00000166167","NM_001256856","BTRC"
"ENSG00000176623","NM_016033","RMDN1"
"ENSG00000184388","NM_001042506","PABPC1L2B"
"ENSG00000105700","NM_024069","KXD1"
"ENSG00000122862","NM_002727","SRGN"
"ENSG00000267596","NM_032965","CCL15"
"ENSG00000172543","NM_001335","CTSW"
"ENSG00000166478","NM_001282657","ZNF143"
"ENSG00000172888","NM_198484","ZNF621"
"ENSG00000119041","NM_001206774","GTF3C3"
"ENSG00000176623","NM_001286707","RMDN1"
"ENSG00000143850","NM_014935","PLEKHA6"
"ENSG00000186288","NM_001012977","PABPC1L2A"
"ENSG00000120616","NM_001272004","EPC1"
"ENSG00000120616","NM_001272019","EPC1"
"ENSG00000176623","NM_001286719","RMDN1"
"ENSG00000120616","NM_001282391","EPC1"
"ENSG00000111961","NM_015278","SASH1"
"ENSG00000112031","NM_001114184","MTRF1L"
"ENSG00000186523","NM_001083537","FAM86B1"
"ENSG00000024862","NM_015439","CCDC28A"
"ENSG00000133606","NM_013446","MKRN1"
"ENSG00000120616","NM_025209","EPC1"
"ENSG00000101224","NM_021873","CDC25B"
"ENSG00000101224","NM_004358","CDC25B"
"ENSG00000101224","NM_021872","CDC25B"
"ENSG00000101224","NM_001287520","CDC25B"
"ENSG00000101224","NM_001287519","CDC25B"
"ENSG00000177455","NM_001178098","CD19"
"ENSG00000177455","NM_001770","CD19"
"ENSG00000170365","NM_005900","SMAD1"
"ENSG00000066322","NM_001256401","ELOVL1"
"ENSG00000237190","NM_080656","CDKN2AIPNL"
"ENSG00000181234","NM_001136103","TMEM132C"
"ENSG00000158615","NM_032833","PPP1R15B"
"ENSG00000204851","NM_020709","PNMAL2"
"ENSG00000064763","NM_001271783","FAR2"
"ENSG00000105700","NM_001171948","KXD1"
"ENSG00000080293","NM_002980","SCTR"
"ENSG00000105700","NM_001171949","KXD1"
"ENSG00000170365","NM_001003688","SMAD1"
"ENSG00000108784","NM_000263","NAGLU"
"ENSG00000064763","NM_018099","FAR2"
"ENSG00000064763","NM_001271784","FAR2"
"ENSG00000153044","NM_022909","CENPH"
"ENSG00000157833","NM_001168241","GAREML"
"ENSG00000154473","NM_004725","BUB3"
"ENSG00000101850","NM_000273","GPR143"
"ENSG00000157895","NM_001286197","C12orf43"
"ENSG00000157895","NM_001286191","C12orf43"
"ENSG00000157895","NM_001286192","C12orf43"
"ENSG00000100099","NM_022081","HPS4"
"ENSG00000157833","NM_001191033","GAREML"
"ENSG00000197535","NM_000259","MYO5A"
"ENSG00000154473","NM_001007793","BUB3"
"ENSG00000139645","NM_173595","ANKRD52"
"ENSG00000197535","NM_001142495","MYO5A"
"ENSG00000243789","NM_001114632","JMJD7"
"ENSG00000157895","NM_001286195","C12orf43"
"ENSG00000187801","NM_023070","ZFP69B"
"ENSG00000242173","NM_001176","ARHGDIG"
"ENSG00000163113","NM_020205","OTUD7B"
"ENSG00000086015","NM_015112","MAST2"
"ENSG00000134056","NM_033281","MRPS36"
"ENSG00000133606","NM_001145125","MKRN1"
"ENSG00000115956","NM_002664","PLEK"
"ENSG00000157895","NM_022895","C12orf43"
"ENSG00000100099","NM_152841","HPS4"
"ENSG00000157895","NM_001286198","C12orf43"
"ENSG00000090376","NM_007199","IRAK3"
"ENSG00000176953","NM_032815","NFATC2IP"
"ENSG00000167236","NM_145898","CCL23"
"ENSG00000115207","NM_001035521","GTF3C2"
"ENSG00000115207","NM_001521","GTF3C2"
"ENSG00000112237","NM_005190","CCNC"
"ENSG00000112237","NM_001013399","CCNC"
"ENSG00000166211","NM_152323","SPIC"
"ENSG00000152484","NM_182488","USP12"
"ENSG00000090376","NM_001142523","IRAK3"
"ENSG00000146950","NM_001649","SHROOM2"
"ENSG00000159224","NM_004123","GIP"
"ENSG00000167236","NM_005064","CCL23"
"ENSG00000072858","NM_017699","SIDT1"
"ENSG00000153201","NM_006267","RANBP2"
"ENSG00000184216","NM_001569","IRAK1"
"ENSG00000184216","NM_001025242","IRAK1"
"ENSG00000186329","NM_001164436","TMEM212"
"ENSG00000234469","NM_001195081","AC002365.1"
"ENSG00000160870","NM_000765","CYP3A7"
"ENSG00000102007","NM_002668","PLP2"
"ENSG00000115275","NM_006302","MOGS"
"ENSG00000187815","NM_198494","ZFP69"
"ENSG00000002933","NM_018487","TMEM176A"
"ENSG00000119669","NM_024496","IRF2BPL"
"ENSG00000184216","NM_001025243","IRAK1"
"ENSG00000160014","NM_005184","CALM3"
"ENSG00000139289","NM_007350","PHLDA1"
"ENSG00000134042","NM_031939","MRO"
"ENSG00000115275","NM_001146158","MOGS"
"ENSG00000133773","NM_014167","CCDC59"
"ENSG00000203734","NM_001077706","ECT2L"
"ENSG00000203734","NM_001195037","ECT2L"
"ENSG00000058729","NM_018343","RIOK2"
"ENSG00000072518","NM_001163296","MARK2"
"ENSG00000034693","NM_003630","PEX3"
"ENSG00000058729","NM_001159749","RIOK2"
"ENSG00000167105","NM_001168215","TMEM92"
"ENSG00000198894","NM_033426","CIPC"
"ENSG00000167105","NM_153229","TMEM92"
"ENSG00000166855","NM_006660","CLPX"
"ENSG00000124678","NM_001093728","TCP11"
"ENSG00000124678","NM_001261817","TCP11"
"ENSG00000132170","NM_138712","PPARG"
"ENSG00000072518","NM_001163297","MARK2"
"ENSG00000115041","NM_013434","KCNIP3"
"ENSG00000124615","NM_005943","MOCS1"
"ENSG00000205916","NM_020420","DAZ4"
"ENSG00000099834","NM_031264","CDHR5"
"ENSG00000132170","NM_005037","PPARG"
"ENSG00000171720","NM_003883","HDAC3"
"ENSG00000170426","NM_148897","SDR9C7"
"ENSG00000091844","NM_012419","RGS17"
"ENSG00000124678","NM_001261818","TCP11"
"ENSG00000100104","NM_001013694","SRRD"
"ENSG00000043143","NM_015288","JADE2"
"ENSG00000255587","NM_001257357","RAB44"
"ENSG00000132170","NM_138711","PPARG"
"ENSG00000134058","NM_001799","CDK7"
"ENSG00000122026","NM_000982","RPL21"
"ENSG00000145414","NM_001128931","NAF1"
"ENSG00000124615","NM_001075098","MOCS1"
"ENSG00000170185","NM_032557","USP38"
"ENSG00000159479","NM_052877","MED8"
"ENSG00000115041","NM_001034914","KCNIP3"
"ENSG00000139547","NM_003708","RDH16"
"ENSG00000145414","NM_138386","NAF1"
"ENSG00000159479","NM_201542","MED8"
"ENSG00000159479","NM_001001653","MED8"
"ENSG00000205916","NM_001005375","DAZ4"
"ENSG00000105323","NM_144732","HNRNPUL1"
"ENSG00000256892","NM_001190489","MTRNR2L7"
"ENSG00000099834","NM_021924","CDHR5"
"ENSG00000099834","NM_001171968","CDHR5"
"ENSG00000124608","NM_020745","AARS2"
"ENSG00000179270","NM_001029883","C2orf71"
"ENSG00000135114","NM_003733","OASL"
"ENSG00000160013","NM_000960","PTGIR"
"ENSG00000164002","NM_022774","EXO5"
"ENSG00000196792","NM_014574","STRN3"
"ENSG00000101882","NM_024528","NKAP"
"ENSG00000072518","NM_017490","MARK2"
"ENSG00000198586","NM_001136554","TLK1"
"ENSG00000109079","NM_021137","TNFAIP1"
"ENSG00000185615","NM_006849","PDIA2"
"ENSG00000101191","NM_001193369","DIDO1"
"ENSG00000198561","NM_001206891","CTNND1"
"ENSG00000101191","NM_001193370","DIDO1"
"ENSG00000128989","NM_006628","ARPP19"
"ENSG00000152404","NM_152434","CWF19L2"
"ENSG00000198586","NM_001136555","TLK1"
"ENSG00000197980","NM_001193283","LEKR1"
"ENSG00000136854","NM_003165","STXBP1"
"ENSG00000135114","NM_198213","OASL"
"ENSG00000167414","NM_033258","GNG8"
"ENSG00000196792","NM_001083893","STRN3"
"ENSG00000134042","NM_001127175","MRO"
"ENSG00000197980","NM_001004316","LEKR1"
"ENSG00000159111","NM_145255","MRPL10"
"ENSG00000101191","NM_022105","DIDO1"
"ENSG00000111801","NM_006994","BTN3A3"
"ENSG00000171557","NM_000509","FGG"
"ENSG00000124574","NM_001198934","ABCC10"
"ENSG00000159131","NM_000819","GART"
"ENSG00000122035","NM_206827","RASL11A"
"ENSG00000159111","NM_148887","MRPL10"
"ENSG00000134042","NM_001127174","MRO"
"ENSG00000132170","NM_015869","PPARG"
"ENSG00000164128","NM_000909","NPY1R"
"ENSG00000101191","NM_080796","DIDO1"
"ENSG00000161016","NM_033301","RPL8"
"ENSG00000072518","NM_001039469","MARK2"
"ENSG00000134042","NM_001127176","MRO"
"ENSG00000204822","NM_053050","MRPL53"
"ENSG00000101191","NM_033081","DIDO1"
"ENSG00000117461","NM_003629","PIK3R3"
"ENSG00000012211","NM_006150","PRICKLE3"
"ENSG00000136854","NM_001032221","STXBP1"
"ENSG00000198586","NM_012290","TLK1"
"ENSG00000124574","NM_033450","ABCC10"
"ENSG00000164023","NM_001136258","SGMS2"
"ENSG00000101191","NM_080797","DIDO1"
"ENSG00000108984","NM_002758","MAP2K6"
"ENSG00000126106","NM_024587","TMEM53"
"ENSG00000159131","NM_001136005","GART"
"ENSG00000130758","NM_002446","MAP3K10"
"ENSG00000153707","NM_002839","PTPRD"
"ENSG00000072518","NM_004954","MARK2"
"ENSG00000105323","NM_007040","HNRNPUL1"
"ENSG00000197380","NM_145056","DACT3"
"ENSG00000172500","NM_198897","FIBP"
"ENSG00000159131","NM_001136006","GART"
"ENSG00000138615","NM_003613","CILP"
"ENSG00000170043","NM_021210","TRAPPC1"
"ENSG00000271043","NM_001190470","MTRNR2L2"
"ENSG00000164023","NM_001136257","SGMS2"
"ENSG00000111962","NM_005715","UST"
"ENSG00000198561","NM_001085467","CTNND1"
"ENSG00000111801","NM_197974","BTN3A3"
"ENSG00000026103","NM_000043","FAS"
"ENSG00000026103","NM_152872","FAS"
"ENSG00000026103","NM_152871","FAS"
"ENSG00000164023","NM_152621","SGMS2"
"ENSG00000153707","NM_001171025","PTPRD"
"ENSG00000172500","NM_004214","FIBP"
"ENSG00000170043","NM_001166621","TRAPPC1"
"ENSG00000124678","NM_018679","TCP11"
"ENSG00000124678","NM_001261821","TCP11"
"ENSG00000124678","NM_001261820","TCP11"
"ENSG00000219073","NM_007352","CELA3B"
"ENSG00000101193","NM_017896","GID8"
"ENSG00000198105","NM_001267606","ZNF248"
"ENSG00000198105","NM_001267605","ZNF248"
"ENSG00000198105","NM_021045","ZNF248"
"ENSG00000198105","NM_001267607","ZNF248"
"ENSG00000117461","NM_001114172","PIK3R3"
"ENSG00000227051","NM_001252507","C14orf132"
"ENSG00000198561","NM_001085458","CTNND1"
"ENSG00000198561","NM_001331","CTNND1"
"ENSG00000198561","NM_001085459","CTNND1"
"ENSG00000124772","NM_020939","CPNE5"
"ENSG00000204923","NM_001024680","FBXO48"
"ENSG00000164129","NM_006174","NPY5R"
"ENSG00000159131","NM_175085","GART"
"ENSG00000047644","NM_015691","WWC3"
"ENSG00000198561","NM_001206890","CTNND1"
"ENSG00000171557","NM_021870","FGG"
"ENSG00000145990","NM_001242628","GFOD1"
"ENSG00000145990","NM_001242630","GFOD1"
"ENSG00000198105","NM_001267597","ZNF248"
"ENSG00000151005","NM_032136","TKTL2"
"ENSG00000145990","NM_018988","GFOD1"
"ENSG00000115484","NM_006430","CCT4"
"ENSG00000198561","NM_001085468","CTNND1"
"ENSG00000133056","NM_002646","PIK3C2B"
"ENSG00000122958","NM_004896","VPS26A"
"ENSG00000198561","NM_001085460","CTNND1"
"ENSG00000198561","NM_001085465","CTNND1"
"ENSG00000122958","NM_001035260","VPS26A"
"ENSG00000138617","NM_017851","PARP16"
"ENSG00000161016","NM_000973","RPL8"
"ENSG00000082515","NM_014180","MRPL22"
"ENSG00000145990","NM_001242629","GFOD1"
"ENSG00000198561","NM_001206889","CTNND1"
"ENSG00000084754","NM_000182","HADHA"
"ENSG00000198561","NM_001206888","CTNND1"
"ENSG00000198561","NM_001206884","CTNND1"
"ENSG00000198561","NM_001085462","CTNND1"
"ENSG00000153707","NM_130393","PTPRD"
"ENSG00000153707","NM_130392","PTPRD"
"ENSG00000153707","NM_130391","PTPRD"
"ENSG00000117010","NM_152373","ZNF684"
"ENSG00000198561","NM_001085466","CTNND1"
"ENSG00000130340","NM_016224","SNX9"
"ENSG00000115484","NM_001256721","CCT4"
"ENSG00000082515","NM_001014990","MRPL22"
"ENSG00000175745","NM_005654","NR2F1"
"ENSG00000198561","NM_001206887","CTNND1"
"ENSG00000198561","NM_001206883","CTNND1"
"ENSG00000175602","NM_006848","CCDC85B"
"ENSG00000119771","NM_052920","KLHL29"
"ENSG00000198561","NM_001206886","CTNND1"
"ENSG00000160868","NM_001202855","CYP3A4"
"ENSG00000160868","NM_017460","CYP3A4"
"ENSG00000155016","NM_183075","CYP2U1"
"ENSG00000198561","NM_001085464","CTNND1"
"ENSG00000232948","NM_001037804","DEFB130"
"ENSG00000198561","NM_001085463","CTNND1"
"ENSG00000171634","NM_182641","BPTF"
"ENSG00000198561","NM_001085469","CTNND1"
"ENSG00000169682","NM_001142448","SPNS1"
"ENSG00000153707","NM_001040712","PTPRD"
"ENSG00000115425","NM_018441","PECR"
"ENSG00000142789","NM_005747","CELA3A"
"ENSG00000167302","NM_144679","ENTHD2"
"ENSG00000125347","NM_002198","IRF1"
"ENSG00000226650","NM_001099293","KIF4B"
"ENSG00000169682","NM_032038","SPNS1"
"ENSG00000164175","NM_016180","SLC45A2"
"ENSG00000174521","NM_152479","TTC9B"
"ENSG00000165312","NM_001145373","OTUD1"
"ENSG00000187024","NM_001002913","PTRH1"
"ENSG00000181541","NM_006439","MAB21L2"
"ENSG00000100109","NM_012143","TFIP11"
"ENSG00000003137","NM_019885","CYP26B1"
"ENSG00000127948","NM_000941","POR"
"ENSG00000164175","NM_001012509","SLC45A2"
"ENSG00000168970","NM_001198588","JMJD7-PLA2G4B"
"ENSG00000083290","NM_001142610","ULK2"
"ENSG00000117472","NM_005727","TSPAN1"
"ENSG00000169682","NM_001142450","SPNS1"
"ENSG00000198498","NM_018352","TMA16"
"ENSG00000198561","NM_001206885","CTNND1"
"ENSG00000198561","NM_001085461","CTNND1"
"ENSG00000100109","NM_001008697","TFIP11"
"ENSG00000122034","NM_002097","GTF3A"
"ENSG00000143727","NM_007099","ACP1"
"ENSG00000174136","NM_001012761","RGMB"
"ENSG00000003137","NM_001277742","CYP26B1"
"ENSG00000083290","NM_014683","ULK2"
"ENSG00000175592","NM_005438","FOSL1"
"ENSG00000171634","NM_004459","BPTF"
"ENSG00000151611","NM_172250","MMAA"
"ENSG00000169682","NM_001142451","SPNS1"
"ENSG00000103126","NM_003502","AXIN1"
"ENSG00000169682","NM_001142449","SPNS1"
"ENSG00000006074","NM_002988","CCL18"
"ENSG00000160401","NM_001012502","C9orf117"
"ENSG00000174498","NM_004884","IGDCC3"
"ENSG00000145002","NM_001137610","FAM86B2"
"ENSG00000103126","NM_181050","AXIN1"
"ENSG00000139370","NM_145648","SLC15A4"
"ENSG00000101194","NM_022082","SLC17A9"
"ENSG00000152700","NM_016103","SAR1B"
"ENSG00000105219","NM_024877","CNTD2"
"ENSG00000148773","NM_001145966","MKI67"
"ENSG00000159217","NM_006546","IGF2BP1"
"ENSG00000112038","NM_001145279","OPRM1"
"ENSG00000143727","NM_004300","ACP1"
"ENSG00000175573","NM_031450","C11orf68"
"ENSG00000175573","NM_001135635","C11orf68"
"ENSG00000145147","NM_004787","SLIT2"
"ENSG00000153162","NM_001718","BMP6"
"ENSG00000152700","NM_001033503","SAR1B"
"ENSG00000148773","NM_002417","MKI67"
"ENSG00000159217","NM_001160423","IGF2BP1"
"ENSG00000073464","NM_001830","CLCN4"
"ENSG00000073464","NM_001256944","CLCN4"
"ENSG00000125843","NM_001204446","AP5S1"
"ENSG00000125843","NM_018347","AP5S1"
"ENSG00000070831","NM_001039802","CDC42"
"ENSG00000070831","NM_044472","CDC42"
"ENSG00000143727","NM_001040649","ACP1"
"ENSG00000125843","NM_001204447","AP5S1"
"ENSG00000112038","NM_001145281","OPRM1"
"ENSG00000122375","NM_033282","OPN4"
"ENSG00000085719","NM_003909","CPNE3"
"ENSG00000109458","NM_207123","GAB1"
"ENSG00000125533","NM_080606","BHLHE23"
"ENSG00000070831","NM_001791","CDC42"
"ENSG00000145425","NM_001006","RPS3A"
"ENSG00000137168","NM_016059","PPIL1"
"ENSG00000122375","NM_001030015","OPN4"
"ENSG00000117016","NM_014747","RIMS3"
"ENSG00000135525","NM_001198616","MAP7"
"ENSG00000135525","NM_003980","MAP7"
"ENSG00000135525","NM_001198617","MAP7"
"ENSG00000135525","NM_001198619","MAP7"
"ENSG00000155760","NM_003507","FZD7"
"ENSG00000165548","NM_020431","TMEM63C"
"ENSG00000109458","NM_002039","GAB1"
"ENSG00000112038","NM_000914","OPRM1"
"ENSG00000112038","NM_001285524","OPRM1"
"ENSG00000222047","NM_001001791","C10orf55"
"ENSG00000135525","NM_001198614","MAP7"
"ENSG00000135525","NM_001198609","MAP7"
"ENSG00000135525","NM_001198608","MAP7"
"ENSG00000186462","NM_021963","NAP1L2"
"ENSG00000107165","NM_000550","TYRP1"
"ENSG00000102901","NM_025082","CENPT"
"ENSG00000197771","NM_001256378","MCMBP"
"ENSG00000197771","NM_001256379","MCMBP"
"ENSG00000197771","NM_024834","MCMBP"
"ENSG00000135525","NM_001198611","MAP7"
"ENSG00000145416","NM_001166373","MARCH1"
"ENSG00000073711","NM_001190447","PPP2R3A"
"ENSG00000073711","NM_002718","PPP2R3A"
"ENSG00000135525","NM_001198615","MAP7"
"ENSG00000138796","NM_001184705","HADH"
"ENSG00000170624","NM_001128209","SGCD"
"ENSG00000006075","NM_002983","CCL3"
"ENSG00000186431","NM_133273","FCAR"
"ENSG00000122033","NM_152912","MTIF3"
"ENSG00000131264","NM_005193","CDX4"
"ENSG00000135144","NM_004416","DTX1"
"ENSG00000198520","NM_001145636","C1orf228"
"ENSG00000102003","NM_003179","SYP"
"ENSG00000170624","NM_000337","SGCD"
"ENSG00000092871","NM_001017368","RFFL"
"ENSG00000171462","NM_001286655","DLK2"
"ENSG00000138796","NM_005327","HADH"
"ENSG00000112038","NM_001008504","OPRM1"
"ENSG00000115295","NM_001287528","CLIP4"
"ENSG00000135525","NM_001198618","MAP7"
"ENSG00000145416","NM_017923","MARCH1"
"ENSG00000170624","NM_172244","SGCD"
"ENSG00000086504","NM_006428","MRPL28"
"ENSG00000149658","NM_017798","YTHDF1"
"ENSG00000166171","NM_015448","DPCD"
"ENSG00000261900","NM_014803","ZNF518A"
"ENSG00000261900","NM_001278525","ZNF518A"
"ENSG00000261900","NM_001278524","ZNF518A"
"ENSG00000112038","NM_001145282","OPRM1"
"ENSG00000166856","NM_007264","GPR182"
"ENSG00000015532","NM_022167","XYLT2"
"ENSG00000073711","NM_181897","PPP2R3A"
"ENSG00000067048","NM_001122665","DDX3Y"
"ENSG00000067048","NM_004660","DDX3Y"
"ENSG00000175550","NM_006442","DRAP1"
"ENSG00000122033","NM_001166263","MTIF3"
"ENSG00000186431","NM_133279","FCAR"
"ENSG00000144460","NM_020864","NYAP2"
"ENSG00000167094","NM_144965","TTC16"
"ENSG00000122033","NM_001166262","MTIF3"
"ENSG00000122033","NM_001166261","MTIF3"
"ENSG00000198625","NM_001278516","MDM4"
"ENSG00000198625","NM_001204171","MDM4"
