Ensembl_gene_id	Omim_gene_description
ENSG00000105695	Spastic paraplegia 75, autosomal recessive, 616680 (3), Autosomal recessive
ENSG00000105697	Hemochromatosis, type 2B, 613313 (3), Autosomal recessive
ENSG00000105711	Atrial fibrillation, familial, 13, 615377 (3), Autosomal dominant; Brugada syndrome 5, 612838 (3); Cardiac conduction defect, nonspecific, 612838 (3); Epilepsy, generalized, with febrile seizures plus, type 1, 604233 (3), Autosomal dominant; Epileptic encephalopathy, early infantile, 52, 617350 (3), Autosomal recessive
ENSG00000105722	Chitayat syndrome, 617180 (3), Autosomal dominant; Craniosynostosis 4, 600775 (3), Autosomal dominant
ENSG00000105738	?Cataract 45, 616851 (3), Autosomal recessive
ENSG00000105755	Ethylmalonic encephalopathy, 602473 (3), Autosomal recessive
ENSG00000105771	Heart and brain malformation syndrome, 616920 (3), Autosomal recessive
ENSG00000105792	Spermatogenic failure 24, 617959 (3), Autosomal recessive
ENSG00000105810	?Microcephaly 12, primary, autosomal recessive, 616080 (3), Autosomal recessive
ENSG00000105819	Multiple mitochondrial dysfunctions syndrome 6, 617954 (3), Autosomal recessive
ENSG00000105854	{Coronary artery disease, susceptibility to} (3)
ENSG00000105877	Ciliary dyskinesia, primary, 7, with or without situs inversus, 611884 (3), Autosomal recessive
ENSG00000105880	?Split-hand/foot malformation 1 with sensorineural hearing loss, 220600 (3), Autosomal recessive
ENSG00000105928	Deafness, autosomal dominant 5, 600994 (3), Autosomal dominant
ENSG00000105929	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
ENSG00000105974	?Lipodystrophy, congenital generalized, type 3, 612526 (3); ?Partial lipodystrophy, congenital cataracts, and neurodegeneration syndrome, 606721 (3), Autosomal dominant; Pulmonary hypertension, primary, 3, 615343 (3), Autosomal dominant
ENSG00000105976	?Deafness, autosomal recessive 97, 616705 (3), Autosomal recessive; Hepatocellular carcinoma, childhood type, somatic, 114550 (3); {Osteofibrous dysplasia, susceptibility to}, 607278 (3), Autosomal dominant; Renal cell carcinoma, papillary, 1, familial and somatic, 605074 (3)
ENSG00000105983	Acheiropody, 200500 (3), Autosomal recessive; Hypoplastic or aplastic tibia with polydactyly, 188740 (3), Autosomal dominant; Laurin-Sandrow syndrome, 135750 (3), Autosomal dominant; Polydactyly, preaxial type II, 174500 (3), Autosomal dominant; Syndactyly, type IV, 186200 (3), Autosomal dominant; Triphalangeal thumb, type I, 174500 (3), Autosomal dominant; Triphalangeal thumb-polysyndactyly syndrome, 174500 (3), Autosomal dominant
ENSG00000105991	Athabaskan brainstem dysgenesis syndrome, 601536 (3); Bosley-Salih-Alorainy syndrome, 601536 (3)
ENSG00000105993	Muscular dystrophy, limb-girdle, autosomal dominant 1, 603511 (3), Autosomal dominant
ENSG00000105996	Microtia with or without hearing impairment (AD), 612290 (3), Autosomal recessive, Autosomal dominant; ?Microtia, hearing impairment, and cleft palate (AR), 612290 (3), Autosomal recessive, Autosomal dominant
ENSG00000106003	?Spondylocostal dysostosis 3, autosomal recessive, 609813 (3)
ENSG00000106009	Neurodevelopmental disorder with cerebellar atrophy and with or without seizures, 618056 (3), Autosomal recessive; Rigidity and multifocal seizure syndrome, lethal neonatal, 614498 (3), Autosomal recessive
ENSG00000106012	?Polydactyly, postaxial, type A7, 617642 (3), Autosomal recessive
ENSG00000106025	Exudative vitreoretinopathy 5, 613310 (3), Autosomal dominant
ENSG00000106031	Guttmacher syndrome, 176305 (3), Autosomal dominant; Hand-foot-uterus syndrome, 140000 (3), Autosomal dominant
ENSG00000106080	Ehlers-Danlos syndrome, kyphoscoliotic type, 2, 614557 (3), Autosomal recessive
ENSG00000106105	Charcot-Marie-Tooth disease, type 2D, 601472 (3), Autosomal dominant; Neuropathy, distal hereditary motor, type VA, 600794 (3), Autosomal dominant
ENSG00000106128	Growth hormone deficiency, isolated, type IB, 612781 (3)
ENSG00000106153	Parkinson disease 22, autosomal dominant, 616710 (3), Autosomal dominant
ENSG00000106211	Charcot-Marie-Tooth disease, axonal, type 2F, 606595 (3), Autosomal dominant; Neuropathy, distal hereditary motor, type IIB, 608634 (3), Autosomal dominant
ENSG00000106258	{Hypertension, salt-sensitive essential, susceptibility to}, 145500 (3), Multifactorial
ENSG00000106290	Alazami-Yuan syndrome, 617126 (3), Autosomal recessive
ENSG00000106305	Leukodystrophy, hypomyelinating, 17, 618006 (3), Autosomal recessive
ENSG00000106327	Hemochromatosis, type 3, 604250 (3), Autosomal recessive
ENSG00000106331	{Diabetes mellitus, ketosis-prone, susceptibility to}, 612227 (3), Autosomal recessive, Autosomal dominant; Diabetes mellitus, type 2, 125853 (3), Autosomal dominant; Maturity-onset diabetes of the young, type IX, 612225 (3)
ENSG00000106341	{Hypercholesterolemia, susceptibility to}, 143890 (3), Autosomal dominant
ENSG00000106344	?Alopecia, neurologic defects, and endocrinopathy syndrome, 612079 (3), Autosomal recessive
ENSG00000106348	Leber congenital amaurosis 11, 613837 (3); Retinitis pigmentosa 10, 180105 (3), Autosomal dominant
ENSG00000106366	Plasminogen activator inhibitor-1 deficiency, 613329 (3), Autosomal recessive, Autosomal dominant; {Transcription of plasminogen activator inhibitor, modulator of} (3)
ENSG00000106367	MEDNIK syndrome, 609313 (3), Autosomal recessive
ENSG00000106397	Lysyl hydroxylase 3 deficiency, 612394 (3), Autosomal recessive
ENSG00000106410	Premature ovarian failure 5, 611548 (3), Autosomal dominant
ENSG00000106415	{Glucocorticoid therapy, response to}, 614400 (3)
ENSG00000106460	Leukodystrophy, hypomyelinating, 16, 617964 (3), Autosomal dominant
ENSG00000106462	Weaver syndrome, 277590 (3), Autosomal dominant
ENSG00000106477	Joubert syndrome 15, 614464 (3), Autosomal recessive
ENSG00000106483	Pyle disease, 265900 (3), Autosomal recessive
ENSG00000106536	{Wilms tumor susceptibility-5}, 601583 (3), Autosomal dominant, Somatic mutation
ENSG00000106571	Greig cephalopolysyndactyly syndrome, 175700 (3), Autosomal dominant; {Hypothalamic hamartomas, somatic}, 241800 (3); Pallister-Hall syndrome, 146510 (3), Autosomal dominant; Polydactyly, postaxial, types A1 and B, 174200 (3), Autosomal dominant; Polydactyly, preaxial, type IV, 174700 (3), Autosomal dominant
ENSG00000106605	Hyperbiliverdinemia, 614156 (3), Autosomal recessive, Autosomal dominant
ENSG00000106617	Cardiomyopathy, hypertrophic 6, 600858 (3), Autosomal dominant; Glycogen storage disease of heart, lethal congenital, 261740 (3), Autosomal dominant; Wolff-Parkinson-White syndrome, 194200 (3), ?Autosomal dominant
ENSG00000106624	Ehlers-Danlos syndrome, classic-like, 2, 618000 (3), Autosomal recessive
ENSG00000106633	Diabetes mellitus, noninsulin-dependent, late onset, 125853 (3), Autosomal dominant; Diabetes mellitus, permanent neonatal, 606176 (3), Autosomal recessive, Autosomal dominant; Hyperinsulinemic hypoglycemia, familial, 3, 602485 (3), Autosomal dominant; MODY, type II, 125851 (3), Autosomal dominant
ENSG00000106688	Dicarboxylic aminoaciduria, 222730 (3), Autosomal recessive; {?Schizophrenia susceptibility 18}, 615232 (3)
ENSG00000106692	Cardiomyopathy, dilated, 1X, 611615 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4, 253800 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4, 613152 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4, 611588 (3), Autosomal recessive
ENSG00000106799	Loeys-Dietz syndrome 1, 609192 (3), Autosomal dominant; {Multiple self-healing squamous epithelioma, susceptibility to}, 132800 (3), Autosomal dominant
ENSG00000106804	C5 deficiency, 609536 (3); [Eculizumab, poor response to], 615749 (3), Autosomal dominant
ENSG00000106819	{Lumbar disc degeneration}, 603932 (3); {Osteoarthritis susceptibility 3}, 607850 (3), Autosomal dominant
ENSG00000106976	Epileptic encephalopathy, early infantile, 31, 616346 (3), Autosomal dominant
ENSG00000106991	Telangiectasia, hereditary hemorrhagic, type 1, 187300 (3), Autosomal dominant
ENSG00000106992	Hemolytic anemia due to adenylate kinase deficiency, 612631 (3), Autosomal recessive
ENSG00000107099	Hyper-IgE recurrent infection syndrome, autosomal recessive, 243700 (3), Autosomal recessive
ENSG00000107104	Cerebral palsy, spastic quadriplegic, 2, 612900 (3)
ENSG00000107147	Epilepsy, nocturnal frontal lobe, 5, 615005 (3), Autosomal dominant; Epileptic encephalopathy, early infantile, 14, 614959 (3), Autosomal dominant
ENSG00000107165	Albinism, oculocutaneous, type III, 203290 (3), Autosomal recessive; [Skin/hair/eye pigmentation, variation in, 11 (Melanesian blond hair)], 612271 (3)
ENSG00000107186	Hydrocephalus, congenital, 2, with or without brain or eye anomalies, 615219 (3), Autosomal recessive
ENSG00000107187	Pituitary hormone deficiency, combined, 3, 221750 (3), Autosomal recessive
ENSG00000107201	Singleton-Merten syndrome 2, 616298 (3), Autosomal dominant
ENSG00000107249	Diabetes mellitus, neonatal, with congenital hypothyroidism, 610199 (3), Autosomal recessive
ENSG00000107290	Amyotrophic lateral sclerosis 4, juvenile, 602433 (3), Autosomal dominant; Spinocerebellar ataxia, autosomal recessive 1, 606002 (3), Autosomal recessive
ENSG00000107371	Pontocerebellar hypoplasia, type 1B, 614678 (3), Autosomal recessive
ENSG00000107404	Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant
ENSG00000107485	Hypoparathyroidism, sensorineural deafness, and renal dysplasia, 146255 (3), Autosomal dominant
ENSG00000107521	Hermansky-Pudlak syndrome 1, 203300 (3), Autosomal recessive
ENSG00000107537	Refsum disease, 266500 (3), Autosomal recessive
ENSG00000107562	{AIDS, resistance to}, 609423 (3)
ENSG00000107566	Spastic paraplegia 62, 615681 (3), Autosomal recessive
ENSG00000107611	Megaloblastic anemia-1, Finnish type, 261100 (3), Autosomal recessive
ENSG00000107736	Deafness, autosomal recessive 12, 601386 (3), Autosomal recessive; {Pituitary adenoma 5, multiple types}, 617540 (3), Autosomal dominant; Usher syndrome, type 1D, 601067 (3), Autosomal recessive, Digenic recessive; Usher syndrome, type 1D/F digenic, 601067 (3), Autosomal recessive, Digenic recessive
ENSG00000107745	Myopathy with extrapyramidal signs, 615673 (3), Autosomal recessive
ENSG00000107779	Juvenile polyposis syndrome, infantile form, 174900 (3), Autosomal dominant; Polyposis syndrome, hereditary mixed, 2, 610069 (3); Polyposis, juvenile intestinal, 174900 (3), Autosomal dominant
ENSG00000107789	Thyroid carcinoma, follicular, 188470 (3), Autosomal dominant
ENSG00000107796	Aortic aneurysm, familial thoracic 6, 611788 (3), Autosomal dominant; Moyamoya disease 5, 614042 (3); Multisystemic smooth muscle dysfunction syndrome, 613834 (3), Autosomal dominant
ENSG00000107798	Cholesteryl ester storage disease, 278000 (3), Autosomal recessive; Wolman disease, 278000 (3), Autosomal recessive
ENSG00000107815	Mitochondrial DNA depletion syndrome 7 (hepatocerebral type), 271245 (3), Autosomal recessive; Perrault syndrome 5, 616138 (3), Autosomal recessive; Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 3, 609286 (3), Autosomal dominant
ENSG00000107831	Hypogonadotropic hypogonadism 6 with or without anosmia, 612702 (3), Autosomal dominant
ENSG00000107859	Anterior segment dysgenesis 1, multiple subtypes, 107250 (3), Autosomal dominant; Cataract 11, multiple types, 610623 (3), Autosomal dominant; Cataract 11, syndromic, 610623 (3), Autosomal dominant
ENSG00000107882	Basal cell nevus syndrome, 109400 (3), Autosomal dominant; Joubert syndrome 32, 617757 (3), Autosomal recessive; Medulloblastoma, desmoplastic, 155255 (3), Autosomal recessive, Autosomal dominant; {Meningioma, familial, susceptibility to}, 607174 (3), Autosomal dominant
ENSG00000107890	Thrombocytopenia 2, 188000 (3), Autosomal dominant
ENSG00000107951	?Spastic ataxia 4, autosomal recessive, 613672 (3), Autosomal recessive
ENSG00000107960	Cerebroretinal microangiopathy with calcifications and cysts 2, 617341 (3), Autosomal recessive
ENSG00000107968	Lung cancer, somatic, 211980 (3)
ENSG00000108001	Hypotonia, ataxia, and delayed development syndrome, 617330 (3), Autosomal dominant
ENSG00000108055	Cornelia de Lange syndrome 3, 610759 (3), Autosomal dominant
ENSG00000108061	Noonan-like syndrome with loose anagen hair, 607721 (3), Autosomal dominant
ENSG00000108064	?Mitochondrial DNA depletion syndrome 15 (hepatocerebral type), 617156 (3), Autosomal recessive
ENSG00000108176	Hyperphenylalaninemia, mild, non-BH4-deficient, 617384 (3), Autosomal recessive
ENSG00000108231	Epilepsy, familial temporal lobe, 1, 600512 (3), Autosomal dominant
ENSG00000108255	Cataract 10, multiple types, 600881 (3), Autosomal dominant
ENSG00000108312	Neurodegeneration, childhood-onset, with brain atrophy, 617672 (3), Autosomal dominant
ENSG00000108370	Bradyopsia, 608415 (3)
ENSG00000108375	Sessile serrated polyposis cancer syndrome, 617108 (3), Autosomal dominant
ENSG00000108379	?Tetra-amelia syndrome 1, 273395 (3), Autosomal recessive
ENSG00000108381	Canavan disease, 271900 (3), Autosomal recessive
ENSG00000108384	{Breast-ovarian cancer, familial, susceptibility to, 3}, 613399 (3); Fanconi anemia, complementation group O, 613390 (3), Autosomal recessive
ENSG00000108395	Mulibrey nanism, 253250 (3), Autosomal recessive
ENSG00000108433	Epilepsy, progressive myoclonic 6, 614018 (3), Autosomal recessive
ENSG00000108439	Pyridoxamine 5'-phosphate oxidase deficiency, 610090 (3), Autosomal recessive
ENSG00000108474	CHIME syndrome, 280000 (3), Autosomal recessive
ENSG00000108479	Galactokinase deficiency with cataracts, 230200 (3), Autosomal recessive
ENSG00000108515	?Glycogen storage disease XIII, 612932 (3), Autosomal recessive
ENSG00000108518	Amyotrophic lateral sclerosis 18, 614808 (3)
ENSG00000108556	Myasthenic syndrome, congenital, 4A, slow-channel, 605809 (3), Autosomal recessive, Autosomal dominant; Myasthenic syndrome, congenital, 4B, fast-channel, 616324 (3), Autosomal recessive; Myasthenic syndrome, congenital, 4C, associated with acetylcholine receptor deficiency, 608931 (3), Autosomal recessive
ENSG00000108557	Smith-Magenis syndrome, 182290 (3), Autosomal dominant, Isolated cases
ENSG00000108561	Combined oxidative phosphorylation deficiency 33, 617713 (3), Autosomal recessive
ENSG00000108576	{Anxiety-related personality traits}, 607834 (3); {Obsessive-compulsive disorder}, 164230 (3), Autosomal dominant
ENSG00000108599	{Cardiac conduction defect, susceptibility to}, 115080 (3), Autosomal dominant
ENSG00000108604	Specific granule deficiency 2, 617475 (3), Autosomal recessive
ENSG00000108641	Joubert syndrome 27, 617120 (3), Autosomal recessive; ?Meckel syndrome 9, 614209 (3), Autosomal recessive
ENSG00000108691	{Coronary artery disease, modifier of} (3); {HIV-1, resistance to}, 609423 (3); {Mycobacterium tuberculosis, susceptibility to}, 607948 (3); {Spina bifida, susceptibility to}, 182940 (3), Autosomal dominant
ENSG00000108733	Peroxisome biogenesis disorder 3A (Zellweger), 614859 (3), Autosomal recessive; Peroxisome biogenesis disorder 3B, 266510 (3), Autosomal recessive
ENSG00000108784	?Charcot-Marie-Tooth disease, axonal, type 2V, 616491 (3), Autosomal dominant; Mucopolysaccharidosis type IIIB (Sanfilippo B), 252920 (3), Autosomal recessive
ENSG00000108797	Lethal congenital contracture syndrome 7, 616286 (3), Autosomal recessive
ENSG00000108813	?Orofacial cleft 15, 616788 (3), Autosomal dominant
ENSG00000108821	{Bone mineral density variation QTL, osteoporosis}, 166710 (3), Autosomal dominant; Caffey disease, 114000 (3), Autosomal dominant; Ehlers-Danlos syndrome, arthrochalasia type, 1, 130060 (3), Autosomal dominant; Osteogenesis imperfecta, type I, 166200 (3), Autosomal dominant; Osteogenesis imperfecta, type II, 166210 (3), Autosomal dominant; Osteogenesis imperfecta, type III, 259420 (3), Autosomal dominant; Osteogenesis imperfecta, type IV, 166220 (3), Autosomal dominant
ENSG00000108823	Muscular dystrophy, limb-girdle, autosomal recessive 3, 608099 (3), Autosomal recessive
ENSG00000108883	Mandibulofacial dysostosis, Guion-Almeida type, 610536 (3), Autosomal dominant
ENSG00000108946	Acrodysostosis 1, with or without hormone resistance, 101800 (3), Autosomal dominant; Adrenocortical tumor, somatic (3); Carney complex, type 1, 160980 (3), Autosomal dominant; Myxoma, intracardiac, 255960 (3), Autosomal dominant; Pigmented nodular adrenocortical disease, primary, 1, 610489 (3), Autosomal dominant
ENSG00000108950	Amelogenesis imperfecta, type IG (enamel-renal syndrome), 204690 (3), Autosomal recessive
ENSG00000108963	Developmental delay with short stature, dysmorphic features, and sparse hair, 616901 (3), Autosomal recessive
ENSG00000109062	Nephrolithiasis/osteoporosis, hypophosphatemic, 2, 612287 (3), Autosomal dominant
ENSG00000109063	Arthrogryposis, distal, type 2A, 193700 (3), Autosomal dominant; Arthrogryposis, distal, type 2B, 601680 (3), Autosomal dominant; Arthrogryposis, distal, type 8, 178110 (3), Autosomal dominant
ENSG00000109099	Charcot-Marie-Tooth disease, type 1A, 118220 (3), Autosomal dominant; Charcot-Marie-Tooth disease, type 1E, 118300 (3), Autosomal dominant; Dejerine-Sottas disease, 145900 (3), Autosomal recessive, Autosomal dominant; ?Neuropathy, inflammatory demyelinating, 139393 (3), ?Autosomal dominant; Neuropathy, recurrent, with pressure palsies, 162500 (3), Autosomal dominant; Roussy-Levy syndrome, 180800 (3), Autosomal dominant
ENSG00000109101	T-cell immunodeficiency, congenital alopecia, and nail dystrophy, 601705 (3), Autosomal recessive
ENSG00000109103	?Cone-rod dystrophy (3); ?Immunodeficiency 13, 615518 (3), Autosomal dominant
ENSG00000109132	Central hypoventilation syndrome, congenital, with or without Hirschsprung disease, 209880 (3), Autosomal dominant; Neuroblastoma with Hirschsprung disease, 613013 (3); {Neuroblastoma, susceptibility to, 2}, 613013 (3)
ENSG00000109163	Hypogonadotropic hypogonadism 7 without anosmia, 146110 (3), Autosomal recessive
ENSG00000109220	{Leukemia, acute myeloid}, 601626 (3), Autosomal dominant
ENSG00000109320	Immunodeficiency, common variable, 12, 616576 (3), Autosomal dominant
ENSG00000109323	Mannosidosis, beta, 248510 (3), Autosomal recessive
ENSG00000109424	{Obesity, susceptibility to}, 601665 (3), Autosomal recessive, Autosomal dominant, Multifactorial
ENSG00000109458	?Deafness, autosomal recessive 26, 605428 (3), Autosomal recessive
ENSG00000109501	?Cataract 41, 116400 (3), Autosomal dominant; Deafness, autosomal dominant 6/14/38, 600965 (3), Autosomal dominant; {Diabetes mellitus, noninsulin-dependent, association with}, 125853 (3), Autosomal dominant; Wolfram syndrome 1, 222300 (3), Autosomal recessive; Wolfram-like syndrome, autosomal dominant, 614296 (3), Autosomal dominant
ENSG00000109610	[Superoxide dismutase, elevated extracellular] (3)
ENSG00000109618	Pontocerebellar hypoplasia type 2D, 613811 (3), Autosomal recessive
ENSG00000109654	Charcot-Marie-Tooth disease, type 2R, 615490 (3), Autosomal recessive
ENSG00000109667	Hypouricemia, renal, 2, 612076 (3), Autosomal recessive, Autosomal dominant; {Uric acid concentration, serum, QTL 2}, 612076 (3), Autosomal recessive, Autosomal dominant
ENSG00000109705	Spondylo-megaepiphyseal-metaphyseal dysplasia, 613330 (3), Autosomal recessive
ENSG00000109738	Hyperekplexia 2, 614619 (3), Autosomal recessive
ENSG00000109756	?Epilepsy, familial adult myoclonic, 7, 618075 (3)
ENSG00000109775	?Hip dysplasia, Beukes type, 142669 (3), Autosomal dominant; ?Spondyloepimetaphyseal dysplasia, Di Rocco type, 617974 (3), Autosomal dominant
ENSG00000109846	Cardiomyopathy, dilated, 1II, 615184 (3), Autosomal dominant; Cataract 16, multiple types, 613763 (3), Autosomal recessive, Autosomal dominant; Myopathy, myofibrillar, 2, 608810 (3), Autosomal dominant; Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related, 613869 (3), Autosomal recessive
ENSG00000109861	Haim-Munk syndrome, 245010 (3), Autosomal recessive; Papillon-Lefevre syndrome, 245000 (3), Autosomal recessive; Periodontitis 1, juvenile, 170650 (3), Autosomal recessive
ENSG00000109906	Leukemia, acute promyelocytic, PL2F/RARA type (3); Skeletal defects, genital hypoplasia, and mental retardation, 612447 (3), Autosomal recessive
ENSG00000109911	?Aniridia 2, 617141 (3), Autosomal dominant
ENSG00000109927	Deafness, autosomal dominant 8/12, 601543 (3), Autosomal dominant; Deafness, autosomal recessive 21, 603629 (3), Autosomal recessive
ENSG00000109929	Lathosterolosis, 607330 (3), Autosomal recessive
ENSG00000110013	{Autoimmune disease, susceptibility to, 6}, 613551 (3)
ENSG00000110057	{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 1}, 610551 (3)
ENSG00000110060	?Mental retardation, autosomal recessive 55, 617051 (3), Autosomal recessive
ENSG00000110063	Al-Raqad syndrome, 616459 (3), Autosomal recessive
ENSG00000110066	Mental retardation, autosomal dominant 51, 617788 (3), Autosomal dominant
ENSG00000110074	Leigh syndrome due to mitochondrial complex I deficiency, 256000 (3), Autosomal recessive, Mitochondrial; Mitochondrial complex I deficiency, 252010 (3), Autosomal recessive, X-linked dominant, Mitochondrial
ENSG00000110090	CPT deficiency, hepatic, type IA, 255120 (3), Autosomal recessive
ENSG00000110092	{Colorectal cancer, susceptibility to}, 114500 (3), Autosomal dominant; {Multiple myeloma, susceptibility to}, 254500 (3), Somatic mutation; {von Hippel-Lindau syndrome, modifier of}, 193300 (3), Autosomal dominant
ENSG00000110195	Neurodegeneration due to cerebral folate transport deficiency, 613068 (3), Autosomal recessive
ENSG00000110243	Hyperchylomicronemia, late-onset, 144650 (3), Autosomal dominant; {Hypertriglyceridemia, susceptibility to}, 145750 (3), Autosomal dominant
ENSG00000110245	Apolipoprotein C-III deficiency, 614028 (3)
ENSG00000110274	Nephronophthisis 15, 614845 (3), Autosomal recessive
ENSG00000110324	Inflammatory bowel disease 28, early onset, autosomal recessive, 613148 (3), Autosomal recessive
ENSG00000110395	?Juvenile myelomonocytic leukemia, 607785 (3), Autosomal dominant, Somatic mutation; Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia, 613563 (3), Autosomal dominant
ENSG00000110400	Cleft lip/palate-ectodermal dysplasia syndrome, 225060 (3), Autosomal recessive; Orofacial cleft 7, 225060 (3), Autosomal recessive
ENSG00000110435	Lacticacidemia due to PDX1 deficiency, 245349 (3), Autosomal recessive
ENSG00000110436	Epileptic encephalopathy, early infantile, 41, 617105 (3), Autosomal dominant
ENSG00000110628	Breast cancer, somatic, 114480 (3); Lung cancer, somatic, 211980 (3); Rhabdomyosarcoma, somatic, 268210 (3)
ENSG00000110651	Immunodeficiency, common variable, 6, 613496 (3), Autosomal recessive
ENSG00000110711	Pituitary adenoma 1, multiple types, 102200 (3), Autosomal dominant, Somatic mutation; Pituitary adenoma predisposition, 102000 (3), Autosomal dominant
ENSG00000110717	Leigh syndrome due to mitochondrial complex I deficiency, 256000 (3), Autosomal recessive, Mitochondrial
ENSG00000110719	Osteopetrosis, autosomal recessive 1, 259700 (3), Autosomal recessive
ENSG00000110723	Epidermolysis bullosa, nonspecific, autosomal recessive, 615028 (3), Autosomal recessive
ENSG00000110756	Hermansky-Pudlak syndrome 5, 614074 (3), Autosomal recessive
ENSG00000110799	von Willebrand disease, type 1, 193400 (3), Autosomal dominant; von Willebrand disease, types 2A, 2B, 2M, and 2N, 613554 (3), Autosomal recessive, Autosomal dominant; von Willibrand disease, type 3, 277480 (3), Autosomal recessive
ENSG00000110911	Anemia, hypochromic microcytic, with iron overload 1, 206100 (3), Autosomal recessive
ENSG00000110921	Hyper-IgD syndrome, 260920 (3), Autosomal recessive; Mevalonic aciduria, 610377 (3), Autosomal recessive; Porokeratosis 3, multiple types, 175900 (3), Autosomal dominant
ENSG00000110987	B-cell non-Hodgkin lymphoma, high-grade (3)
ENSG00000111012	Vitamin D-dependent rickets, type I, 264700 (3), Autosomal recessive
ENSG00000111046	Centronuclear myopathy 3, 614408 (3), Autosomal dominant
ENSG00000111049	Ophthalmoplegia, external, with rib and vertebral anomalies, 618155 (3)
ENSG00000111057	Cirrhosis, cryptogenic, 215600 (3), Autosomal recessive; {Cirrhosis, noncryptogenic, susceptibility to}, 215600 (3), Autosomal recessive
ENSG00000111087	Polydactyly, postaxial, type A8, 618123 (3)
ENSG00000111199	?Avascular necrosis of femoral head, primary, 2, 617383 (3), Autosomal dominant; Brachyolmia type 3, 113500 (3), Autosomal dominant; Digital arthropathy-brachydactyly, familial, 606835 (3), Autosomal dominant; Hereditary motor and sensory neuropathy, type IIc, 606071 (3), Autosomal dominant; Metatropic dysplasia, 156530 (3), Autosomal dominant; Parastremmatic dwarfism, 168400 (3), Autosomal dominant; SED, Maroteaux type, 184095 (3), Autosomal dominant; Scapuloperoneal spinal muscular atrophy, 181405 (3), Autosomal dominant; [Sodium serum level QTL 1], 613508 (3); Spinal muscular atrophy, distal, congenital nonprogressive, 600175 (3), Autosomal dominant; Spondylometaphyseal dysplasia, Kozlowski type, 184252 (3), Autosomal dominant
ENSG00000111245	Cardiomyopathy, hypertrophic, 10, 608758 (3), Autosomal dominant
ENSG00000111249	Epileptic encephalopathy, early infantile, 67, 618141 (3), Autosomal dominant
ENSG00000111252	Erythrocytosis, somatic, 133100 (3); Myelofibrosis, somatic, 254450 (3); Thrombocythemia, somatic, 187950 (3)
ENSG00000111262	Episodic ataxia/myokymia syndrome, 160120 (3), Autosomal dominant
ENSG00000111275	Alcohol sensitivity, acute, 610251 (3), Autosomal dominant; {Esophageal cancer, alcohol-related, susceptibility to} (3); {Hangover, susceptibility to}, 610251 (3), Autosomal dominant; {Sublingual nitroglycerin, susceptibility to poor response to} (3)
ENSG00000111276	Multiple endocrine neoplasia, type IV, 610755 (3), Autosomal dominant
ENSG00000111319	Bronchiectasis with or without elevated sweat chloride 2, 613021 (3), Autosomal dominant; ?Liddle syndrome 3, 618126 (3); Pseudohypoaldosteronism, type I, 264350 (3), Autosomal recessive
ENSG00000111339	[Blood group, Dombrock], 616060 (3)
ENSG00000111341	Keutel syndrome, 245150 (3), Autosomal recessive
ENSG00000111361	Leukoencephalopathy with vanishing white matter, 603896 (3), Autosomal recessive
ENSG00000111424	?Osteoporosis, involutional, 166710 (1), Autosomal dominant; Rickets, vitamin D-resistant, type IIA, 277440 (3), Autosomal recessive
ENSG00000111537	{AIDS, rapid progression to}, 609423 (3); {Aplastic anemia}, 609135 (3); {Hepatitis C virus, response to therapy of}, 609532 (3); {TSC2 angiomyolipomas, renal, modifier of}, 613254 (3), Autosomal dominant; {Tuberculosis, protection against}, 607948 (3)
ENSG00000111581	Nephrotic syndrome, type 11, 616730 (3), Autosomal recessive; ?Ovarian dysgenesis 6, 618078 (3), Autosomal recessive
ENSG00000111642	Sifrim-Hitz-Weiss syndrome, 617159 (3), Autosomal dominant
ENSG00000111664	{Hypertension, essential, susceptibility to}, 145500 (3), Multifactorial; Night blindness, congenital stationary, type 1H, 617024 (3), Autosomal recessive
ENSG00000111669	Hemolytic anemia due to triosephosphate isomerase deficiency, 615512 (3), Autosomal recessive
ENSG00000111670	Mucolipidosis II alpha/beta, 252500 (3), Autosomal recessive; Mucolipidosis III alpha/beta, 252600 (3), Autosomal recessive
ENSG00000111676	Dentatorubro-pallidoluysian atrophy, 125370 (3), Autosomal dominant
ENSG00000111678	Temtamy syndrome, 218340 (3), Autosomal recessive
ENSG00000111700	Hyperbilirubinemia, Rotor type, digenic, 237450 (3), Digenic recessive
ENSG00000111713	Glycogen storage disease 0, liver, 240600 (3), Autosomal recessive
ENSG00000111716	[Lactate dehydrogenase-B deficiency], 614128 (3)
ENSG00000111732	Immunodeficiency with hyper-IgM, type 2, 605258 (3), Autosomal recessive
ENSG00000111752	?Microcephaly 11, primary, autosomal recessive, 615414 (3), Autosomal recessive
ENSG00000111775	Charcot-Marie-Tooth disease, recessive intermediate D, 616039 (3), Autosomal recessive
